"Time since round start";"Player Name";"X-Position";"Z-Position";"Reward";
3.35;MPIB4;29.0;8.0;false;
3.9;MPIB3;47.0;53.0;false;
5.3;MPIB1;11.0;44.0;false;
7.3;MPIB4;26.0;8.0;false;
7.45;MPIB3;44.0;50.0;false;
7.9;MPIB1;11.0;41.0;false;
8.0;MPIB2;32.0;32.0;false;
10.25;MPIB4;26.0;11.0;false;
10.75;MPIB3;41.0;47.0;true;
11.65;MPIB1;8.0;44.0;false;
11.65;MPIB2;32.0;29.0;false;
13.3;MPIB4;29.0;14.0;false;
13.75;MPIB3;41.0;44.0;false;
14.75;MPIB1;8.0;41.0;false;
15.8;MPIB2;32.0;35.0;true;
16.25;MPIB4;29.0;11.0;false;
17.05;MPIB3;38.0;47.0;false;
17.7;MPIB1;5.0;38.0;true;
20.1;MPIB4;32.0;8.0;false;
20.3;MPIB3;38.0;50.0;false;
20.65;MPIB1;5.0;41.0;false;
23.25;MPIB4;32.0;11.0;false;
23.35;MPIB2;32.0;50.0;false;
23.4;MPIB3;38.0;53.0;false;
23.55;MPIB1;5.0;44.0;false;
26.35;MPIB4;35.0;11.0;false;
26.6;MPIB3;38.0;56.0;true;
26.9;MPIB1;2.0;44.0;false;
27.0;MPIB2;32.0;53.0;true;
29.45;MPIB4;38.0;11.0;true;
29.75;MPIB1;2.0;41.0;false;
29.75;MPIB3;38.0;59.0;false;
33.0;MPIB3;35.0;59.0;true;
33.25;MPIB1;2.0;38.0;true;
33.5;MPIB4;44.0;14.0;true;
34.7;MPIB2;20.0;56.0;true;
35.9;MPIB1;2.0;35.0;false;
36.45;MPIB3;32.0;56.0;false;
37.0;MPIB4;47.0;17.0;true;
38.9;MPIB1;5.0;35.0;false;
39.75;MPIB3;29.0;56.0;true;
40.45;MPIB4;50.0;20.0;false;
42.25;MPIB2;5.0;56.0;false;
42.4;MPIB1;8.0;32.0;false;
42.8;MPIB3;26.0;56.0;false;
43.7;MPIB4;53.0;20.0;false;
45.25;MPIB1;8.0;35.0;false;
45.95;MPIB3;23.0;56.0;false;
45.95;MPIB2;2.0;56.0;false;
46.75;MPIB4;56.0;20.0;false;
47.95;MPIB1;8.0;38.0;false;
49.1;MPIB3;23.0;53.0;false;
49.9;MPIB4;53.0;23.0;true;
50.85;MPIB2;8.0;56.0;false;
51.3;MPIB1;5.0;32.0;false;
52.2;MPIB3;23.0;50.0;true;
53.5;MPIB4;56.0;26.0;true;
54.6;MPIB1;2.0;29.0;true;
55.35;MPIB3;23.0;47.0;false;
56.85;MPIB4;59.0;29.0;false;
57.65;MPIB1;2.0;32.0;false;
58.6;MPIB3;23.0;44.0;false;
60.25;MPIB2;5.0;47.0;false;
60.35;MPIB4;56.0;32.0;false;
60.7;MPIB1;5.0;29.0;true;
61.75;MPIB3;23.0;41.0;false;
63.1;MPIB4;59.0;32.0;false;
64.05;MPIB1;8.0;26.0;false;
64.8;MPIB3;23.0;38.0;false;
66.3;MPIB4;56.0;35.0;true;
66.75;MPIB1;8.0;29.0;false;
68.05;MPIB3;23.0;35.0;false;
69.75;MPIB1;11.0;29.0;false;
70.2;MPIB4;50.0;32.0;false;
71.05;MPIB2;17.0;47.0;true;
71.25;MPIB3;23.0;32.0;true;
73.3;MPIB4;47.0;35.0;false;
73.9;MPIB1;11.0;26.0;false;
74.3;MPIB3;23.0;29.0;false;
76.55;MPIB1;11.0;23.0;false;
76.75;MPIB4;47.0;38.0;false;
77.6;MPIB3;26.0;29.0;false;
79.5;MPIB4;44.0;38.0;false;
79.55;MPIB1;14.0;23.0;false;
79.85;MPIB2;17.0;32.0;true;
80.8;MPIB3;29.0;29.0;false;
82.4;MPIB1;14.0;26.0;true;
82.75;MPIB4;44.0;41.0;false;
84.05;MPIB3;29.0;32.0;false;
86.2;MPIB1;20.0;23.0;false;
86.2;MPIB4;47.0;44.0;false;
87.25;MPIB3;26.0;32.0;false;
88.4;MPIB2;17.0;17.0;false;
88.9;MPIB1;17.0;23.0;false;
89.75;MPIB4;50.0;44.0;false;
90.4;MPIB3;26.0;35.0;true;
91.85;MPIB2;17.0;20.0;true;
91.9;MPIB1;17.0;26.0;false;
92.5;MPIB4;50.0;47.0;false;
93.65;MPIB3;29.0;35.0;false;
94.6;MPIB1;20.0;26.0;false;
95.6;MPIB4;53.0;47.0;false;
97.15;MPIB3;29.0;38.0;false;
97.7;MPIB1;20.0;29.0;true;
98.7;MPIB4;56.0;47.0;true;
100.35;MPIB3;26.0;38.0;true;
100.45;MPIB2;17.0;5.0;true;
100.6;MPIB1;17.0;29.0;false;
102.85;MPIB4;56.0;53.0;false;
103.95;MPIB3;26.0;41.0;false;
104.0;MPIB1;14.0;29.0;false;
105.75;MPIB4;59.0;53.0;false;
106.75;MPIB1;14.0;32.0;false;
107.45;MPIB3;29.0;41.0;true;
108.5;MPIB4;59.0;50.0;false;
110.05;MPIB1;11.0;32.0;false;
110.7;MPIB3;29.0;44.0;true;
111.6;MPIB4;59.0;56.0;false;
113.0;MPIB2;32.0;5.0;false;
113.6;MPIB1;14.0;35.0;false;
113.95;MPIB3;26.0;44.0;false;
114.8;MPIB4;56.0;56.0;true;
116.35;MPIB1;11.0;35.0;false;
116.5;MPIB2;29.0;5.0;true;
117.1;MPIB3;26.0;47.0;false;
118.2;MPIB4;53.0;59.0;false;
119.65;MPIB1;11.0;38.0;false;
