"Time since round start";"Player Name";"X-Position";"Z-Position";"X-Look";"Y-Look";"Z-Look";"Visible Players";
0.0;MPIB2;24.5;22.5;-0.95497065782547;0.0;0.29670026898384094;[];
0.0;MPIB1;18.5;26.5;0.7727671265602112;0.0;-0.6346896886825562;[MPIB2,MPIB4];
0.0;MPIB4;20.5;21.5;0.8180261850357056;0.0;-0.5751809477806091;[MPIB1,MPIB2];
0.0;MPIB3;30.5;56.5;0.20260703563690186;0.0;-0.9792601466178894;[MPIB1,MPIB2,MPIB4];
0.05;MPIB2;24.5;22.5;-0.95497065782547;0.0;0.29670026898384094;[];
0.05;MPIB1;18.5;26.5;0.7727671265602112;0.0;-0.6346896886825562;[MPIB2,MPIB4];
0.05;MPIB4;20.5;21.5;0.8180261850357056;0.0;-0.5751809477806091;[MPIB1,MPIB2];
0.05;MPIB3;30.5;56.5;0.20260703563690186;0.0;-0.9792601466178894;[];
0.1;MPIB2;24.5;22.5;-0.95497065782547;0.0;0.29670026898384094;[];
0.1;MPIB1;18.5;26.5;0.7727671265602112;0.0;-0.6346896886825562;[];
0.1;MPIB4;20.5;21.5;0.8180261850357056;0.0;-0.5751809477806091;[];
0.1;MPIB3;30.5;56.5;0.22564122080802917;-0.005177162121981382;-0.974196195602417;[];
0.15;MPIB2;24.5;22.5;-0.9599539041519165;-0.06017237529158592;0.27359867095947266;[];
0.15;MPIB1;18.5;26.5;0.7727671265602112;0.0;-0.6346896886825562;[];
0.15;MPIB4;20.5;21.5;0.8180261850357056;0.0;-0.5751809477806091;[];
0.15;MPIB3;30.5;56.5;0.23329296708106995;-0.005177162121981382;-0.972392201423645;[];
0.2;MPIB2;24.5;22.5;-0.9599539041519165;-0.06017237529158592;0.27359867095947266;[MPIB1,MPIB4];
0.2;MPIB1;18.5;26.5;0.7727671265602112;0.0;-0.6346896886825562;[MPIB2,MPIB4];
0.2;MPIB4;20.5;21.5;0.8180261850357056;0.0;-0.5751809477806091;[MPIB2];
0.2;MPIB3;30.5;56.5;0.23329296708106995;-0.005177162121981382;-0.972392201423645;[MPIB1,MPIB2,MPIB4];
0.25;MPIB2;24.5;22.5;-0.9599539041519165;-0.06017237529158592;0.27359867095947266;[MPIB1,MPIB4];
0.25;MPIB1;18.5;26.5;0.7727671265602112;0.0;-0.6346896886825562;[MPIB2,MPIB4];
0.25;MPIB4;20.5;21.5;0.8180261850357056;0.0;-0.5751809477806091;[MPIB2];
0.25;MPIB3;30.5;56.5;0.23329296708106995;-0.005177162121981382;-0.972392201423645;[MPIB1,MPIB2,MPIB4];
0.3;MPIB2;24.5;22.5;-0.9301256537437439;-0.34608107805252075;0.12260457128286362;[MPIB1,MPIB4];
0.3;MPIB1;18.5;26.5;0.7727671265602112;0.0;-0.6346896886825562;[MPIB2,MPIB4];
0.3;MPIB4;20.5;21.5;0.8456220626831055;0.0;-0.5337820649147034;[MPIB2];
0.3;MPIB3;30.5;56.5;0.2459474503993988;-0.00776569964364171;-0.9692513346672058;[MPIB1,MPIB2,MPIB4];
0.35;MPIB2;24.5;22.5;-0.9208253026008606;-0.3705158829689026;0.12137864530086517;[MPIB1,MPIB4];
0.35;MPIB1;18.5;26.5;0.7727645635604858;0.0025885896757245064;-0.6346875429153442;[MPIB2,MPIB4];
0.35;MPIB4;20.5;21.5;0.8484249711036682;0.0;-0.5293156504631042;[MPIB2];
0.35;MPIB3;30.5;56.5;0.26624250411987305;-0.00776569964364171;-0.9638740420341492;[MPIB1,MPIB2,MPIB4];
0.4;MPIB2;24.5;22.5;-0.914297878742218;-0.3850736916065216;0.12533728778362274;[MPIB1,MPIB4];
0.4;MPIB1;18.5;26.5;0.7727645635604858;0.0025885896757245064;-0.6346875429153442;[MPIB2,MPIB4];
0.4;MPIB4;20.5;21.5;0.8484249711036682;0.0;-0.5293156504631042;[MPIB2];
0.4;MPIB3;30.5;56.5;0.26624250411987305;-0.00776569964364171;-0.9638740420341492;[MPIB1,MPIB2,MPIB4];
0.45;MPIB2;24.5;22.5;-0.9057532548904419;-0.3995363116264343;0.14110814034938812;[MPIB1,MPIB4];
0.45;MPIB1;18.5;26.5;0.7727567553520203;0.005177162121981382;-0.6346811652183533;[MPIB2,MPIB4];
0.45;MPIB4;20.5;21.5;0.8484249711036682;0.0;-0.5293156504631042;[MPIB2];
0.45;MPIB3;30.5;56.5;0.26617667078971863;-0.023486921563744545;-0.9636356830596924;[MPIB1,MPIB2,MPIB4];
0.5;MPIB2;24.5;22.5;-0.8953613638877869;-0.4090942442417145;0.17577940225601196;[MPIB1,MPIB4];
0.5;MPIB1;18.5;26.5;0.7727567553520203;0.005177162121981382;-0.6346811652183533;[MPIB2,MPIB4];
0.5;MPIB4;20.5;21.5;0.8812424540519714;0.0;-0.4726645350456238;[MPIB2];
0.5;MPIB3;30.5;56.5;0.2455468624830246;-0.05749255791306496;-0.9676726460456848;[MPIB1,MPIB2,MPIB4];
0.55;MPIB2;24.5;22.5;-0.8938615322113037;-0.4114549458026886;0.17788919806480408;[MPIB1,MPIB4];
0.55;MPIB1;18.5;26.5;0.7727567553520203;0.005177162121981382;-0.6346811652183533;[MPIB2,MPIB4];
0.55;MPIB4;20.59082516282797;21.46319255977869;0.9267874956130981;0.0;-0.3755861818790436;[MPIB2];
0.55;MPIB3;30.5;56.5;0.2455468624830246;-0.05749255791306496;-0.9676726460456848;[MPIB1,MPIB2,MPIB4];
0.6;MPIB2;24.5;22.5;-0.8938615322113037;-0.4114549458026886;0.17788919806480408;[MPIB1,MPIB4];
0.6;MPIB1;18.5;26.5;0.7727567553520203;0.005177162121981382;-0.6346811652183533;[MPIB2,MPIB4];
0.6;MPIB4;20.59082516282797;21.46319255977869;0.9267874956130981;0.0;-0.3755861818790436;[MPIB2];
0.6;MPIB3;30.5;56.5;0.08020222187042236;-0.36320239305496216;-0.9282169342041016;[MPIB1,MPIB2,MPIB4];
0.65;MPIB2;24.5;22.5;-0.8938615322113037;-0.4114549458026886;0.17788919806480408;[MPIB1,MPIB4];
0.65;MPIB1;18.5;26.5;0.7727567553520203;0.005177162121981382;-0.6346811652183533;[MPIB2,MPIB4];
0.65;MPIB4;20.901565135688763;21.345727928021887;0.9381382465362549;0.0;-0.3462609648704529;[MPIB2];
0.65;MPIB3;30.5;56.5;0.08020222187042236;-0.36320239305496216;-0.9282169342041016;[MPIB1,MPIB2,MPIB4];
0.7;MPIB2;24.5;22.5;-0.8857168555259705;-0.4186075031757355;0.20050057768821716;[MPIB1,MPIB4];
0.7;MPIB1;18.5;26.5;0.7727567553520203;0.005177162121981382;-0.6346811652183533;[MPIB2,MPIB4];
0.7;MPIB4;21.08589237826604;21.30000001192093;0.9381382465362549;0.0;-0.3462609648704529;[MPIB2];
0.7;MPIB3;30.5;56.5;-0.14385461807250977;-0.5291529893875122;-0.8361918926239014;[MPIB1,MPIB2,MPIB4];
0.75;MPIB2;24.5;22.5;-0.8184525966644287;-0.46555230021476746;0.33662641048431396;[MPIB1,MPIB4];
0.75;MPIB1;18.5;26.5;0.7727567553520203;0.005177162121981382;-0.6346811652183533;[MPIB2,MPIB4];
0.75;MPIB4;21.278472606364815;21.30000001192093;0.9381382465362549;0.0;-0.3462609648704529;[MPIB2];
0.75;MPIB3;30.5;56.5;-0.14984938502311707;-0.513526976108551;-0.8448376655578613;[MPIB1,MPIB2,MPIB4];
0.8;MPIB2;24.5;22.5;-0.7365912199020386;-0.5358073711395264;0.41262221336364746;[MPIB1,MPIB4];
0.8;MPIB1;18.5;26.5;0.7455025911331177;-0.0025885896757245064;-0.6664973497390747;[MPIB2,MPIB4];
0.8;MPIB4;21.475558965081728;21.266066439449787;0.9381382465362549;0.0;-0.3462609648704529;[MPIB2];
0.8;MPIB3;30.5;56.5;-0.15078701078891754;-0.5044492483139038;-0.850123941898346;[MPIB1,MPIB2,MPIB4];
0.85;MPIB2;24.5;22.5;-0.6833282113075256;-0.5834643840789795;0.4387950003147125;[MPIB1,MPIB4];
0.85;MPIB1;18.5;26.5;0.6414942741394043;-0.09143160283565521;-0.7616481184959412;[];
0.85;MPIB4;21.58316812944025;21.247538706728506;0.9417020678520203;-0.0025885896757245064;-0.33643728494644165;[MPIB2];
0.85;MPIB3;30.5;56.5;-0.15124116837978363;-0.49997231364250183;-0.8526844382286072;[MPIB1,MPIB2,MPIB4];
0.9;MPIB2;24.5;22.5;-0.6393706798553467;-0.6045950651168823;0.4749501943588257;[MPIB1,MPIB4];
0.9;MPIB1;18.5;26.5;0.1608777940273285;-0.49997231364250183;-0.8509188890457153;[];
0.9;MPIB4;21.641922740004503;21.237422563487655;0.9755286574363708;-0.054908059537410736;-0.21288123726844788;[MPIB2];
0.9;MPIB3;30.5;56.5;-0.15259556472301483;-0.48629406094551086;-0.8603204488754272;[MPIB1,MPIB2,MPIB4];
0.95;MPIB2;24.5;22.5;-0.6280195116996765;-0.606654942035675;0.4873077869415283;[MPIB1,MPIB4];
0.95;MPIB1;18.5;26.5;-0.17127159237861633;-0.9679226875305176;-0.18369846045970917;[];
0.95;MPIB4;21.674002761098766;21.231899148636586;0.9894679188728333;-0.12012668699026108;-0.08062242716550827;[MPIB2];
