Time;PlayerName;eventtype;eventid;xPos;yPos;zPos;Occupancy;TriggerPlayer
3.5;MPIB2;SPL;315;47.36107;0;33.58316;0.1643519;MPIB1
3.5;MPIB1;SPL;315;47.36107;0;33.58316;0.1614583;MPIB1
3.55;MPIB2;SPL;315;47.36107;0;33.58316;0.1556231;MPIB1
3.55;MPIB1;SPL;315;47.36107;0;33.58316;0.1644001;MPIB1
3.6;MPIB2;SPL;315;47.36107;0;33.58316;0.1473765;MPIB1
3.6;MPIB1;SPL;315;47.36107;0;33.58316;0.1586613;MPIB1
3.65;MPIB2;SPL;315;47.36107;0;33.58316;0.13614;MPIB1
3.65;MPIB1;SPL;315;47.36107;0;33.58316;0.1488715;MPIB1
3.7;MPIB2;SPL;315;47.36107;0;33.58316;0.1415413;MPIB1
3.7;MPIB1;SPL;315;47.36107;0;33.58316;0.1384066;MPIB1
3.75;MPIB2;SPL;315;47.36107;0;33.58316;0.13913;MPIB1
3.75;MPIB1;SPL;315;47.36107;0;33.58316;0.1238908;MPIB1
3.8;MPIB2;SPL;315;47.36107;0;33.58316;0.1279417;MPIB1
3.8;MPIB1;SPL;315;47.36107;0;33.58316;0.1034915;MPIB1
3.85;MPIB2;SPL;315;47.36107;0;33.58316;0.1046971;MPIB1
3.85;MPIB1;SPL;315;47.36107;0;33.58316;0.08338156;MPIB1
3.9;MPIB2;SPL;315;47.36107;0;33.58316;0.08965085;MPIB1
3.9;MPIB1;SPL;315;47.36107;0;33.58316;0.07764275;MPIB1
3.95;MPIB2;SPL;315;47.36107;0;33.58316;0.07417052;MPIB1
3.95;MPIB1;SPL;315;47.36107;0;33.58316;0.1202257;MPIB1
4;MPIB2;SPL;315;47.36107;0;33.58316;0.07002315;MPIB1
4;MPIB1;SPL;315;47.36107;0;33.58316;0.1075907;MPIB1
4.05;MPIB2;SPL;315;47.36107;0;33.58316;0.06158372;MPIB1
4.05;MPIB1;SPL;315;47.36107;0;33.58316;0.09259259;MPIB1
4.1;MPIB2;SPL;315;47.36107;0;33.58316;0.0512635;MPIB1
4.1;MPIB1;SPL;315;47.36107;0;33.58316;0.1004051;MPIB1
4.15;MPIB2;SPL;315;47.36107;0;33.58316;0.04185957;MPIB1
4.15;MPIB1;SPL;315;47.36107;0;33.58316;0.090326;MPIB1
4.2;MPIB2;SPL;315;47.36107;0;33.58316;0.03795332;MPIB1
4.2;MPIB1;SPL;315;47.36107;0;33.58316;0.08569638;MPIB1
4.25;MPIB2;SPL;315;47.36107;0;33.58316;0.03187693;MPIB1
4.25;MPIB1;SPL;315;47.36107;0;33.58316;0.04759838;MPIB1
4.3;MPIB2;SPL;315;47.36107;0;33.58316;0.02623457;MPIB1
4.3;MPIB1;SPL;315;47.36107;0;33.58316;0.01851852;MPIB1
4.35;MPIB2;SPL;315;47.36107;0;33.58316;0.01716821;MPIB1
4.35;MPIB1;SPL;315;47.36107;0;33.58316;0.009741512;MPIB1
4.4;MPIB2;SPL;315;47.36107;0;33.58316;0.01552855;MPIB1
