Time;PlayerName;eventtype;eventid;xPos;yPos;zPos;Occupancy;TriggerPlayer
3.5;MPIB4;SPL;29007;31.5;0;3.5;0.2070795;MPIB4
3.55;MPIB4;SPL;29007;31.5;0;3.5;0.1925637;MPIB4
3.6;MPIB4;SPL;29007;31.5;0;3.5;0.1833044;MPIB4
3.65;MPIB4;SPL;29007;31.5;0;3.5;0.1635803;MPIB4
3.7;MPIB4;SPL;29007;31.5;0;3.5;0.1519097;MPIB4
3.75;MPIB4;SPL;29007;31.5;0;3.5;0.131848;MPIB4
3.8;MPIB4;SPL;29007;31.5;0;3.5;0.114728;MPIB4
3.85;MPIB4;SPL;29007;31.5;0;3.5;0.09625772;MPIB4
3.9;MPIB4;SPL;29007;31.5;0;3.5;0.07788388;MPIB4
3.95;MPIB4;SPL;29007;31.5;0;3.5;0.07542438;MPIB4
4;MPIB4;SPL;29007;31.5;0;3.5;0.06746721;MPIB4
4.05;MPIB4;SPL;29007;31.5;0;3.5;0.0581115;MPIB4
4.1;MPIB4;SPL;29007;31.5;0;3.5;0.06153549;MPIB4
4.15;MPIB4;SPL;29007;31.5;0;3.5;0.04812886;MPIB4
4.2;MPIB4;SPL;29007;31.5;0;3.5;0.04079861;MPIB4
4.25;MPIB4;SPL;29007;31.5;0;3.5;0.04301697;MPIB4
4.3;MPIB4;SPL;29007;31.5;0;3.5;0.03684413;MPIB4
4.35;MPIB4;SPL;29007;31.5;0;3.5;0.03351659;MPIB4
4.4;MPIB4;SPL;29007;31.5;0;3.5;0.03120177;MPIB4
4.45;MPIB4;SPL;29007;31.5;0;3.5;0.03149113;MPIB4
4.5;MPIB4;SPL;29007;31.5;0;3.5;0.04841821;MPIB4
4.55;MPIB4;SPL;29007;31.5;0;3.5;0.0152392;MPIB4
4.6;MPIB4;SPL;29007;31.5;0;3.5;0.009403936;MPIB4
4.65;MPIB4;SPL;29007;31.5;0;3.5;0.001687886;MPIB4
12.35;MPIB1;SPL;29006;33.57066;0;4.644346;0.01094715;MPIB4
12.35;MPIB4;SPL;29006;33.57066;0;4.644346;0.1340181;MPIB4
12.4;MPIB1;SPL;29006;33.57066;0;4.644346;0.01007909;MPIB4
12.4;MPIB4;SPL;29006;33.57066;0;4.644346;0.1436632;MPIB4
12.45;MPIB1;SPL;29006;33.57066;0;4.644346;0.01114005;MPIB4
12.45;MPIB4;SPL;29006;33.57066;0;4.644346;0.1409144;MPIB4
12.5;MPIB1;SPL;29006;33.57066;0;4.644346;0.01094715;MPIB4
12.5;MPIB4;SPL;29006;33.57066;0;4.644346;0.1311728;MPIB4
12.55;MPIB1;SPL;29006;33.57066;0;4.644346;0.01032022;MPIB4
12.55;MPIB4;SPL;29006;33.57066;0;4.644346;0.1243731;MPIB4
12.6;MPIB1;SPL;29006;33.57066;0;4.644346;0.01080247;MPIB4
12.6;MPIB4;SPL;29006;33.57066;0;4.644346;0.1098573;MPIB4
12.65;MPIB1;SPL;29006;33.57066;0;4.644346;0.009789738;MPIB4
12.65;MPIB4;SPL;29006;33.57066;0;4.644346;0.09239969;MPIB4
12.7;MPIB1;SPL;29006;33.57066;0;4.644346;0.008825231;MPIB4
12.7;MPIB4;SPL;29006;33.57066;0;4.644346;0.08598573;MPIB4
12.75;MPIB1;SPL;29006;33.57066;0;4.644346;0.009114583;MPIB4
12.75;MPIB4;SPL;29006;33.57066;0;4.644346;0.08270641;MPIB4
12.8;MPIB1;SPL;29006;33.57066;0;4.644346;0.007860726;MPIB4
12.8;MPIB4;SPL;29006;33.57066;0;4.644346;0.07118055;MPIB4
12.85;MPIB1;SPL;29006;33.57066;0;4.644346;0.007716049;MPIB4
12.85;MPIB4;SPL;29006;33.57066;0;4.644346;0.05719522;MPIB4
12.9;MPIB1;SPL;29006;33.57066;0;4.644346;0.006896219;MPIB4
12.9;MPIB4;SPL;29006;33.57066;0;4.644346;0.05092593;MPIB4
12.95;MPIB1;SPL;29006;33.57066;0;4.644346;0.006558642;MPIB4
12.95;MPIB4;SPL;29006;33.57066;0;4.644346;0.04619985;MPIB4
13;MPIB1;SPL;29006;33.57066;0;4.644346;0.00544946;MPIB4
13;MPIB4;SPL;29006;33.57066;0;4.644346;0.03414352;MPIB4
13.05;MPIB1;SPL;29006;33.57066;0;4.644346;0.004581404;MPIB4
13.05;MPIB4;SPL;29006;33.57066;0;4.644346;0.03014082;MPIB4
13.1;MPIB1;SPL;29006;33.57066;0;4.644346;0.00472608;MPIB4
13.1;MPIB4;SPL;29006;33.57066;0;4.644346;0.0270544;MPIB4
13.15;MPIB1;SPL;29006;33.57066;0;4.644346;0.003665123;MPIB4
13.15;MPIB4;SPL;29006;33.57066;0;4.644346;0.0240162;MPIB4
13.2;MPIB1;SPL;29006;33.57066;0;4.644346;0.002652392;MPIB4
13.2;MPIB4;SPL;29006;33.57066;0;4.644346;0.01972415;MPIB4
13.25;MPIB1;SPL;29006;33.57066;0;4.644346;0.002845293;MPIB4
13.25;MPIB4;SPL;29006;33.57066;0;4.644346;0.0196277;MPIB4
13.3;MPIB1;SPL;29006;33.57066;0;4.644346;0.002170139;MPIB4
13.3;MPIB4;SPL;29006;33.57066;0;4.644346;0.01634838;MPIB4
13.35;MPIB1;SPL;29006;33.57066;0;4.644346;0.002170139;MPIB4
13.35;MPIB4;SPL;29006;33.57066;0;4.644346;0.01576968;MPIB4
13.4;MPIB1;SPL;29006;33.57066;0;4.644346;0.002121913;MPIB4
13.4;MPIB4;SPL;29006;33.57066;0;4.644346;0.01451582;MPIB4
13.45;MPIB1;SPL;29006;33.57066;0;4.644346;0.001687886;MPIB4
13.45;MPIB4;SPL;29006;33.57066;0;4.644346;0.01335841;MPIB4
13.5;MPIB1;SPL;29006;33.57066;0;4.644346;0.0008198302;MPIB4
13.5;MPIB4;SPL;29006;33.57066;0;4.644346;0.01369599;MPIB4
13.55;MPIB1;SPL;29006;33.57066;0;4.644346;0.0005304784;MPIB4
13.55;MPIB4;SPL;29006;33.57066;0;4.644346;0.008825231;MPIB4
13.6;MPIB1;SPL;29006;33.57066;0;4.644346;0.0005787037;MPIB4
13.6;MPIB4;SPL;29006;33.57066;0;4.644346;0.01075424;MPIB4
13.65;MPIB1;SPL;29006;33.57066;0;4.644346;0.000626929;MPIB4
13.65;MPIB4;SPL;29006;33.57066;0;4.644346;0.008342979;MPIB4
13.7;MPIB1;SPL;29006;33.57066;0;4.644346;0.0004340278;MPIB4
13.7;MPIB4;SPL;29006;33.57066;0;4.644346;0.00390625;MPIB4
13.75;MPIB1;SPL;29006;33.57066;0;4.644346;0.0002893519;MPIB4
13.75;MPIB4;SPL;29006;33.57066;0;4.644346;0.002604167;MPIB4
13.8;MPIB1;SPL;29006;33.57066;0;4.644346;0.0001929012;MPIB4
13.8;MPIB4;SPL;29006;33.57066;0;4.644346;0.007716049;MPIB4
13.85;MPIB1;SPL;29006;33.57066;0;4.644346;0.0004340278;MPIB4
13.85;MPIB4;SPL;29006;33.57066;0;4.644346;0.009259259;MPIB4
13.9;MPIB1;SPL;29006;33.57066;0;4.644346;0.0002893519;MPIB4
13.95;MPIB1;SPL;29006;33.57066;0;4.644346;0.0003375772;MPIB4
14;MPIB1;SPL;29006;33.57066;0;4.644346;0.0001446759;MPIB4
14.05;MPIB1;SPL;29006;33.57066;0;4.644346;4.822531E-05;MPIB4
14.05;MPIB3;SPL;28963;21.77544;0;52.78729;0.1784336;MPIB3
14.1;MPIB1;SPL;29006;33.57066;0;4.644346;0.0002893519;MPIB4
14.1;MPIB3;SPL;28963;21.77544;0;52.78729;0.1710552;MPIB3
14.15;MPIB1;SPL;29006;33.57066;0;4.644346;4.822531E-05;MPIB4
14.15;MPIB3;SPL;28963;21.77544;0;52.78729;0.1711516;MPIB3
14.2;MPIB3;SPL;28963;21.77544;0;52.78729;0.1568287;MPIB3
14.25;MPIB3;SPL;28963;21.77544;0;52.78729;0.1432774;MPIB3
14.3;MPIB3;SPL;28963;21.77544;0;52.78729;0.1378279;MPIB3
14.35;MPIB3;SPL;28963;21.77544;0;52.78729;0.1466049;MPIB3
14.4;MPIB3;SPL;28963;21.77544;0;52.78729;0.1435667;MPIB3
14.45;MPIB3;SPL;28963;21.77544;0;52.78729;0.1316069;MPIB3
14.5;MPIB3;SPL;28963;21.77544;0;52.78729;0.1262056;MPIB3
14.55;MPIB3;SPL;28963;21.77544;0;52.78729;0.1229745;MPIB3
14.6;MPIB3;SPL;28963;21.77544;0;52.78729;0.1109664;MPIB3
14.65;MPIB3;SPL;28963;21.77544;0;52.78729;0.1100984;MPIB3
14.7;MPIB3;SPL;28963;21.77544;0;52.78729;0.07807677;MPIB3
14.75;MPIB3;SPL;28963;21.77544;0;52.78729;0.07209684;MPIB3
18.6;MPIB1;SPL;29068;41.24843;0;9.501198;0.1576485;MPIB1
