"Time since round start";"Player Name";"X-Position";"Z-Position";"Reward";
3.05;MPIB1;20.0;53.0;false;
3.2;MPIB3;56.0;32.0;false;
4.35;MPIB4;29.0;11.0;false;
5.7;MPIB1;23.0;53.0;false;
6.7;MPIB3;56.0;29.0;false;
7.45;MPIB2;32.0;35.0;true;
7.7;MPIB4;29.0;14.0;false;
8.6;MPIB1;26.0;53.0;true;
9.95;MPIB3;59.0;29.0;false;
11.0;MPIB2;32.0;32.0;false;
11.2;MPIB1;26.0;56.0;false;
11.7;MPIB4;29.0;17.0;false;
14.95;MPIB2;26.0;29.0;false;
15.0;MPIB4;29.0;20.0;false;
15.7;MPIB3;59.0;32.0;false;
16.4;MPIB1;29.0;56.0;true;
18.75;MPIB3;59.0;35.0;false;
18.85;MPIB4;29.0;23.0;false;
19.05;MPIB2;20.0;26.0;false;
19.05;MPIB1;29.0;59.0;false;
21.85;MPIB1;32.0;59.0;false;
22.55;MPIB4;29.0;26.0;false;
22.6;MPIB3;56.0;35.0;true;
23.3;MPIB2;17.0;32.0;true;
24.75;MPIB1;32.0;56.0;false;
26.1;MPIB4;29.0;29.0;false;
27.05;MPIB2;20.0;35.0;false;
27.3;MPIB1;35.0;56.0;false;
27.85;MPIB3;53.0;29.0;false;
29.55;MPIB4;29.0;32.0;false;
30.4;MPIB1;35.0;59.0;true;
31.0;MPIB2;17.0;38.0;false;
31.6;MPIB3;50.0;29.0;false;
33.15;MPIB4;29.0;35.0;false;
33.45;MPIB1;38.0;56.0;true;
34.5;MPIB3;47.0;29.0;false;
36.4;MPIB1;41.0;56.0;false;
36.8;MPIB4;29.0;38.0;false;
37.3;MPIB2;23.0;47.0;false;
37.5;MPIB3;47.0;32.0;false;
39.35;MPIB1;41.0;59.0;false;
40.0;MPIB4;29.0;41.0;true;
41.25;MPIB3;47.0;35.0;false;
42.55;MPIB1;44.0;59.0;true;
42.75;MPIB2;35.0;44.0;true;
43.85;MPIB4;29.0;44.0;true;
44.85;MPIB3;50.0;38.0;true;
45.7;MPIB1;44.0;56.0;true;
47.6;MPIB4;29.0;47.0;true;
48.15;MPIB2;35.0;38.0;false;
48.75;MPIB1;44.0;53.0;true;
49.3;MPIB3;56.0;41.0;false;
51.25;MPIB4;29.0;50.0;false;
51.35;MPIB1;47.0;53.0;false;
53.65;MPIB3;53.0;47.0;false;
54.05;MPIB1;47.0;56.0;false;
54.55;MPIB4;29.0;53.0;false;
54.6;MPIB2;38.0;29.0;false;
56.95;MPIB1;50.0;56.0;true;
57.3;MPIB3;56.0;47.0;true;
58.25;MPIB4;26.0;50.0;false;
58.75;MPIB2;41.0;26.0;false;
59.9;MPIB1;50.0;59.0;true;
61.9;MPIB4;23.0;50.0;true;
62.1;MPIB3;59.0;53.0;false;
62.65;MPIB2;38.0;23.0;false;
62.7;MPIB1;53.0;59.0;false;
65.5;MPIB4;20.0;50.0;false;
65.55;MPIB1;53.0;56.0;false;
66.0;MPIB3;59.0;56.0;false;
68.4;MPIB1;53.0;53.0;false;
69.1;MPIB4;17.0;50.0;false;
69.2;MPIB3;59.0;59.0;false;
69.95;MPIB2;23.0;17.0;false;
71.45;MPIB1;50.0;50.0;true;
72.55;MPIB4;14.0;50.0;false;
72.75;MPIB3;56.0;59.0;true;
74.5;MPIB1;47.0;50.0;false;
75.1;MPIB2;17.0;14.0;false;
76.3;MPIB4;8.0;50.0;false;
77.15;MPIB1;47.0;47.0;false;
78.35;MPIB2;14.0;11.0;false;
79.05;MPIB3;50.0;53.0;false;
79.4;MPIB4;11.0;50.0;true;
79.75;MPIB1;50.0;47.0;false;
82.4;MPIB1;50.0;44.0;false;
82.85;MPIB4;11.0;47.0;false;
82.85;MPIB2;8.0;17.0;false;
82.85;MPIB3;47.0;59.0;false;
86.2;MPIB4;14.0;47.0;false;
86.2;MPIB1;47.0;44.0;false;
87.65;MPIB2;11.0;26.0;false;
88.15;MPIB3;38.0;59.0;false;
88.95;MPIB1;47.0;41.0;false;
90.0;MPIB4;14.0;44.0;false;
91.5;MPIB2;8.0;29.0;false;
91.9;MPIB1;44.0;41.0;false;
92.45;MPIB3;35.0;53.0;false;
93.5;MPIB4;14.0;41.0;false;
94.65;MPIB1;44.0;38.0;false;
95.75;MPIB2;5.0;35.0;false;
96.1;MPIB3;38.0;53.0;false;
96.95;MPIB4;14.0;38.0;false;
97.95;MPIB1;41.0;38.0;false;
99.55;MPIB2;8.0;38.0;false;
100.05;MPIB3;41.0;53.0;false;
100.5;MPIB4;14.0;35.0;false;
100.7;MPIB1;41.0;35.0;true;
103.05;MPIB2;5.0;41.0;false;
103.3;MPIB1;38.0;35.0;false;
104.05;MPIB4;14.0;32.0;false;
104.35;MPIB3;41.0;50.0;false;
106.1;MPIB2;2.0;41.0;false;
106.1;MPIB1;38.0;32.0;true;
107.5;MPIB4;14.0;29.0;false;
109.1;MPIB1;41.0;32.0;false;
109.2;MPIB3;44.0;50.0;false;
109.35;MPIB2;5.0;44.0;false;
110.95;MPIB4;14.0;26.0;true;
111.9;MPIB1;41.0;29.0;false;
113.5;MPIB3;44.0;47.0;false;
114.6;MPIB4;14.0;23.0;false;
114.65;MPIB2;8.0;41.0;false;
114.7;MPIB1;44.0;29.0;false;
117.25;MPIB3;41.0;47.0;true;
117.55;MPIB1;44.0;32.0;false;
118.0;MPIB2;8.0;44.0;false;
118.25;MPIB4;17.0;26.0;false;
