Time;PlayerName;P1;P2;P3;P4
1.85;MPIB3;0;0;0;0
1.85;MPIB1;0;0;0;0
1.9;MPIB2;0;0;0;0.001687886
1.9;MPIB4;0.001205633;0.004002701;0;0
1.9;MPIB3;0;0;0;0
1.9;MPIB1;0;0;0;0
1.95;MPIB2;0;0;0;0.001687886
1.95;MPIB4;0.001253858;0.004002701;0;0
1.95;MPIB3;0;0;0;0
1.95;MPIB1;0;0;0;0
2;MPIB2;0;0;0;0.001687886
2;MPIB4;0.001253858;0.004002701;0;0
2;MPIB3;0;0;0;0
2;MPIB1;0;0;0;0
2.05;MPIB2;0;0;0;0.001687886
2.05;MPIB4;0.001253858;0.004002701;0;0
2.05;MPIB3;0;0;0;0
2.05;MPIB1;0;0;0;0
2.1;MPIB2;0;0;0;0.001687886
2.1;MPIB4;0.001253858;0.004002701;0;0
2.1;MPIB3;0;0;0;0
2.1;MPIB1;0;0;0;0
2.15;MPIB2;0;0;0;0.001687886
2.15;MPIB4;0.001253858;0.004002701;0;0
2.15;MPIB3;0;0;0;0
2.15;MPIB1;0;0;0;0
2.2;MPIB2;0;0;0;0.001687886
2.2;MPIB4;0.001253858;0.004002701;0;0
2.2;MPIB3;0;0;0;0
2.2;MPIB1;0;0;0;0
2.25;MPIB2;0;0;0;0.001687886
2.25;MPIB4;0.001253858;0.004002701;0;0
2.25;MPIB3;0;0;0;0
2.25;MPIB1;0;0;0;0
2.3;MPIB2;0;0;0;0.001736111
2.3;MPIB4;0.001494985;0.003954475;0;0
2.3;MPIB3;0;0;0;0
2.3;MPIB1;0;0;0;0
2.35;MPIB2;0;0;0;0.001687886
2.35;MPIB4;0.001350309;0.004050926;0;0
2.35;MPIB3;0;0;0;0
2.35;MPIB1;0;0;0;0
2.4;MPIB2;0;0;0;0.001687886
2.4;MPIB4;0.001205633;0.004484954;0;0
2.4;MPIB3;0;0;0;0
2.4;MPIB1;0;0;0;0
2.45;MPIB2;0;0;0;0.001687886
2.45;MPIB4;0.001302083;0.003665123;0;0
2.45;MPIB3;0;0;0;0
2.45;MPIB1;0;0;0;0
2.5;MPIB2;0;0;0;0.001687886
2.5;MPIB4;0.001302083;0.003665123;0;0
2.5;MPIB3;0;0;0;0
2.5;MPIB1;0;0;0;0
2.55;MPIB2;0;0;0;0.001687886
2.55;MPIB4;0.001302083;0.003665123;0;0
2.55;MPIB3;0;0;0;0
2.55;MPIB1;0;0;0;0
2.6;MPIB2;0;0;0;0.001687886
2.6;MPIB4;0.001302083;0.003665123;0;0
2.6;MPIB3;0;0;0;0
2.6;MPIB1;0;0;0;0
2.65;MPIB2;0;0;0;0.001687886
2.65;MPIB4;0.001302083;0.003665123;0;0
