Time;PlayerName;eventtype;eventid;xPos;yPos;zPos;Occupancy;TriggerPlayer
5.9;MPIB4;SPL;65828;35.9038;0;6.84068;0.127363;MPIB4
5.9;MPIB2;SPL;65828;35.9038;0;6.84068;0.00163966;MPIB4
5.95;MPIB4;SPL;65828;35.9038;0;6.84068;0.1126543;MPIB4
5.95;MPIB2;SPL;65828;35.9038;0;6.84068;0.001736111;MPIB4
6;MPIB4;SPL;65828;35.9038;0;6.84068;0.105951;MPIB4
6;MPIB2;SPL;65828;35.9038;0;6.84068;0.001880787;MPIB4
6.05;MPIB4;SPL;65828;35.9038;0;6.84068;0.1061439;MPIB4
6.05;MPIB2;SPL;65828;35.9038;0;6.84068;0.001977238;MPIB4
6.1;MPIB4;SPL;65828;35.9038;0;6.84068;0.1054688;MPIB4
6.1;MPIB2;SPL;65828;35.9038;0;6.84068;0.001977238;MPIB4
6.15;MPIB4;SPL;65828;35.9038;0;6.84068;0.1013696;MPIB4
6.15;MPIB2;SPL;65828;35.9038;0;6.84068;0.002170139;MPIB4
6.2;MPIB4;SPL;65828;35.9038;0;6.84068;0.09876543;MPIB4
6.2;MPIB2;SPL;65828;35.9038;0;6.84068;0.001929012;MPIB4
6.25;MPIB4;SPL;65828;35.9038;0;6.84068;0.08940972;MPIB4
6.25;MPIB2;SPL;65828;35.9038;0;6.84068;0.00163966;MPIB4
6.3;MPIB4;SPL;65828;35.9038;0;6.84068;0.09958526;MPIB4
6.3;MPIB2;SPL;65828;35.9038;0;6.84068;0.001687886;MPIB4
6.35;MPIB4;SPL;65828;35.9038;0;6.84068;0.08545525;MPIB4
6.35;MPIB2;SPL;65828;35.9038;0;6.84068;0.001494985;MPIB4
6.4;MPIB4;SPL;65828;35.9038;0;6.84068;0.116657;MPIB4
6.4;MPIB2;SPL;65828;35.9038;0;6.84068;0.00163966;MPIB4
6.45;MPIB4;SPL;65828;35.9038;0;6.84068;0.05637538;MPIB4
6.45;MPIB2;SPL;65828;35.9038;0;6.84068;0.001446759;MPIB4
6.5;MPIB4;SPL;65828;35.9038;0;6.84068;0.01167052;MPIB4
6.5;MPIB2;SPL;65828;35.9038;0;6.84068;0.001784336;MPIB4
6.55;MPIB2;SPL;65828;35.9038;0;6.84068;0.001060957;MPIB4
6.6;MPIB2;SPL;65828;35.9038;0;6.84068;0.001350309;MPIB4
6.65;MPIB2;SPL;65828;35.9038;0;6.84068;0.001109182;MPIB4
6.7;MPIB2;SPL;65828;35.9038;0;6.84068;0.001157407;MPIB4
6.75;MPIB2;SPL;65828;35.9038;0;6.84068;0.0009645062;MPIB4
6.8;MPIB2;SPL;65828;35.9038;0;6.84068;0.0008680556;MPIB4
6.85;MPIB2;SPL;65828;35.9038;0;6.84068;0.0009162808;MPIB4
6.9;MPIB2;SPL;65828;35.9038;0;6.84068;0.0007233796;MPIB4
6.95;MPIB2;SPL;65828;35.9038;0;6.84068;0.0008680556;MPIB4
7;MPIB2;SPL;65828;35.9038;0;6.84068;0.0005304784;MPIB4
7.05;MPIB2;SPL;65828;35.9038;0;6.84068;0.0006751543;MPIB4
7.1;MPIB2;SPL;65828;35.9038;0;6.84068;0.0007716049;MPIB4
7.15;MPIB2;SPL;65828;35.9038;0;6.84068;0.0004822531;MPIB4
