Time;PlayerName;eventtype;eventid;xPos;yPos;zPos;Occupancy;TriggerPlayer
3.5;MPIB3;SPL;7360;22.28611;0;43.26387;0.1541763;MPIB3
3.5;MPIB2;SPL;7360;22.28611;0;43.26387;0.004388503;MPIB3
3.55;MPIB3;SPL;7360;22.28611;0;43.26387;0.1459298;MPIB3
3.55;MPIB2;SPL;7360;22.28611;0;43.26387;0.004436729;MPIB3
3.6;MPIB3;SPL;7360;22.28611;0;43.26387;0.1331983;MPIB3
3.6;MPIB2;SPL;7360;22.28611;0;43.26387;0.004918981;MPIB3
3.65;MPIB3;SPL;7360;22.28611;0;43.26387;0.1241802;MPIB3
3.65;MPIB2;SPL;7360;22.28611;0;43.26387;0.004292052;MPIB3
3.7;MPIB3;SPL;7360;22.28611;0;43.26387;0.1180556;MPIB3
3.7;MPIB2;SPL;7360;22.28611;0;43.26387;0.004774306;MPIB3
3.75;MPIB3;SPL;7360;22.28611;0;43.26387;0.09375;MPIB3
3.75;MPIB2;SPL;7360;22.28611;0;43.26387;0.003761574;MPIB3
3.8;MPIB3;SPL;7360;22.28611;0;43.26387;0.0861304;MPIB3
3.8;MPIB2;SPL;7360;22.28611;0;43.26387;0.003616898;MPIB3
3.85;MPIB3;SPL;7360;22.28611;0;43.26387;0.06756366;MPIB3
3.85;MPIB2;SPL;7360;22.28611;0;43.26387;0.003423997;MPIB3
3.9;MPIB3;SPL;7360;22.28611;0;43.26387;0.06548997;MPIB3
3.9;MPIB2;SPL;7360;22.28611;0;43.26387;0.003134645;MPIB3
3.95;MPIB3;SPL;7360;22.28611;0;43.26387;0.06090856;MPIB3
3.95;MPIB2;SPL;7360;22.28611;0;43.26387;0.002845293;MPIB3
4;MPIB3;SPL;7360;22.28611;0;43.26387;0.06862462;MPIB3
4;MPIB2;SPL;7360;22.28611;0;43.26387;0.002748843;MPIB3
4.05;MPIB3;SPL;7360;22.28611;0;43.26387;0.06761188;MPIB3
4.05;MPIB2;SPL;7360;22.28611;0;43.26387;0.002459491;MPIB3
4.1;MPIB3;SPL;7360;22.28611;0;43.26387;0.07687114;MPIB3
4.1;MPIB2;SPL;7360;22.28611;0;43.26387;0.002170139;MPIB3
4.15;MPIB3;SPL;7360;22.28611;0;43.26387;0.06828704;MPIB3
4.15;MPIB2;SPL;7360;22.28611;0;43.26387;0.001929012;MPIB3
4.2;MPIB3;SPL;7360;22.28611;0;43.26387;0.08849344;MPIB3
4.2;MPIB2;SPL;7360;22.28611;0;43.26387;0.00154321;MPIB3
4.25;MPIB3;SPL;7360;22.28611;0;43.26387;0.04118441;MPIB3
4.25;MPIB2;SPL;7360;22.28611;0;43.26387;0.001302083;MPIB3
4.3;MPIB3;SPL;7360;22.28611;0;43.26387;0.03057485;MPIB3
4.3;MPIB2;SPL;7360;22.28611;0;43.26387;0.001109182;MPIB3
4.35;MPIB3;SPL;7360;22.28611;0;43.26387;0.01808449;MPIB3
4.35;MPIB2;SPL;7360;22.28611;0;43.26387;0.0009162808;MPIB3
4.4;MPIB3;SPL;7360;22.28611;0;43.26387;0.008969908;MPIB3
4.4;MPIB2;SPL;7360;22.28611;0;43.26387;0.0009162808;MPIB3
4.45;MPIB3;SPL;7360;22.28611;0;43.26387;0.004340278;MPIB3
4.45;MPIB2;SPL;7360;22.28611;0;43.26387;0.000626929;MPIB3
4.5;MPIB3;SPL;7360;22.28611;0;43.26387;0.0003858025;MPIB3
4.5;MPIB2;SPL;7360;22.28611;0;43.26387;0.0004822531;MPIB3
4.55;MPIB2;SPL;7360;22.28611;0;43.26387;0.000626929;MPIB3
4.6;MPIB2;SPL;7360;22.28611;0;43.26387;0.0005304784;MPIB3
4.65;MPIB2;SPL;7360;22.28611;0;43.26387;0.0002893519;MPIB3
4.7;MPIB2;SPL;7360;22.28611;0;43.26387;0.0001446759;MPIB3
4.75;MPIB2;SPL;7360;22.28611;0;43.26387;0.0001929012;MPIB3
4.8;MPIB2;SPL;7360;22.28611;0;43.26387;9.645062E-05;MPIB3
4.85;MPIB2;SPL;7360;22.28611;0;43.26387;4.822531E-05;MPIB3
4.9;MPIB2;SPL;7360;22.28611;0;43.26387;4.822531E-05;MPIB3
4.95;MPIB2;SPL;7360;22.28611;0;43.26387;4.822531E-05;MPIB3
5;MPIB2;SPL;7360;22.28611;0;43.26387;4.822531E-05;MPIB3
6.95;MPIB4;SPL;7463;39.5;0;53.5;0.1139082;MPIB4
