Time;PlayerName;P1;P2;P3;P4
0;MPIB2;0.001302083;0;0;0.0002893519
0;MPIB1;0;0;0.000626929;0.0007716049
0;MPIB4;0;0;0;0
0;MPIB3;0;0;0;0.0005304784
0.05;MPIB2;0.001398534;0;0;0.0001929012
0.05;MPIB1;0;0;0.0004340278;0.0007233796
0.05;MPIB4;0;0;0;0
0.05;MPIB3;0;0;0;0.0003858025
0.1;MPIB2;0.001398534;0;0;0.0001929012
0.1;MPIB1;0;0;0.0004340278;0.0007233796
0.1;MPIB4;0;0;0;0
0.1;MPIB3;0;0;0;0.0003858025
0.15;MPIB2;0.001398534;0;0;0.0002411265
0.15;MPIB1;0;0;0.0002893519;0.0007716049
0.15;MPIB4;0;0;0;0
0.15;MPIB3;0;0;0;0.0003858025
0.2;MPIB2;0.001350309;0;0;0.0001929012
0.2;MPIB1;0;0;0.0002893519;0.0007716049
0.2;MPIB4;0;0;0;0
0.2;MPIB3;0;0;0;0.0003858025
0.25;MPIB2;0;0;0;0.0002411265
0.25;MPIB1;0;0;0.0002893519;0.0007716049
0.25;MPIB4;0;0;0;0
0.25;MPIB3;0;0;0;0.0003858025
0.3;MPIB2;0;0;0;0.0002411265
0.3;MPIB1;0;0;0.0002893519;0.0007716049
0.3;MPIB4;0;0;0;0
0.3;MPIB3;0;0;0;0.0003858025
0.35;MPIB2;0;0;0;0.0003375772
0.35;MPIB1;0;0;0.0002893519;0.0007716049
0.35;MPIB4;0;0;0;0
0.35;MPIB3;0;0;0;0.0003858025
0.4;MPIB2;0;0;0;0.0002411265
0.4;MPIB1;0;0;0.0005787037;0.0007233796
0.4;MPIB4;0;0;0;0
0.4;MPIB3;0;0;0;0.0003858025
0.45;MPIB2;0;0;0;0.0002411265
0.45;MPIB1;0;0;0.0004340278;0.000626929
0.45;MPIB4;0;0;0;0
0.45;MPIB3;0;0;0;0.0003858025
0.5;MPIB2;0;0;0;0.0002411265
0.5;MPIB1;0;0;0.0005787037;0.0008198302
0.5;MPIB4;0;0;0;0
0.5;MPIB3;0;0;0;0.0003858025
0.55;MPIB2;0;0;0;0.0002411265
0.55;MPIB1;0;0;0;0.0004822531
0.55;MPIB4;0;0;0;0
0.55;MPIB3;0;0;0;0.0003858025
0.6;MPIB2;0;0;0;0.0002411265
0.6;MPIB1;0;0;0;0.0006751543
0.6;MPIB4;0;0;0;0
0.6;MPIB3;0;0;0;0.0003858025
0.65;MPIB2;0;0;0;0.0003375772
0.65;MPIB1;0;0;0;0.000626929
0.65;MPIB4;0;0;0;0
0.65;MPIB3;0;0;0;0.0005304784
0.7;MPIB2;0;0;0;0.0002893519
0.7;MPIB1;0;0;0;0.000626929
0.7;MPIB4;0;0;0;0
0.7;MPIB3;0;0;0;0.0005304784
0.75;MPIB2;0;0;0;0.0002893519
0.75;MPIB1;0;0;0;0.000626929
0.75;MPIB4;0;0;0;0
0.75;MPIB3;0;0;0;0.0004340278
0.8;MPIB2;0;0;0;0.0002893519
0.8;MPIB1;0;0;0;0.000626929
0.8;MPIB4;0;0;0;0
0.8;MPIB3;0;0;0;0.0004340278
0.85;MPIB2;0;0;0;0.0001929012
0.85;MPIB1;0;0;0;0.000626929
0.85;MPIB4;0;0;0;0
0.85;MPIB3;0;0;0;0.0004340278
0.9;MPIB2;0;0;0;0.0002411265
0.9;MPIB1;0;0;0;0.0005787037
0.9;MPIB4;0;0;0;0
0.9;MPIB3;0;0;0;0.0002893519
0.95;MPIB2;0.0007716049;0;0;0.0002411265
0.95;MPIB1;0;0;0;0.0007233796
0.95;MPIB4;0;0;0;0
0.95;MPIB3;0;0;0;0.0002893519
1;MPIB2;0.0009162808;0;0;0.0003375772
1;MPIB1;0;0;0;0.0007233796
1;MPIB4;0;0;0;0
1;MPIB3;0;0;0;0.0003858025
1.05;MPIB2;0.0009162808;0;0;0.0003375772
1.05;MPIB1;0;0;0;0.0007233796
1.05;MPIB4;0;0;0;0
1.05;MPIB3;0;0;0;0.0005787037
1.1;MPIB2;0.001060957;0;0;0.0002411265
1.1;MPIB1;0;0;0;0.0007233796
1.1;MPIB4;0;0;0;0
1.1;MPIB3;0;0;0;0.0003858025
1.15;MPIB2;0.001060957;0;0;0.0002411265
1.15;MPIB1;0;0;0;0.0006751543
1.15;MPIB4;0;0;0;0
1.15;MPIB3;0;0;0;0.0004340278
1.2;MPIB2;0.001060957;0;0;0.0002411265
1.2;MPIB1;0;0;0;0.0006751543
1.2;MPIB4;0;0;0;0
1.2;MPIB3;0;0;0;0.000626929
1.25;MPIB2;0.0008680556;0;0;0.0002893519
1.25;MPIB1;0;0;0;0.0006751543
1.25;MPIB4;0;0;0;0
1.25;MPIB3;0;0;0;0.000626929
1.3;MPIB2;0.0008680556;0;0;0.0002893519
1.3;MPIB1;0;0;0;0.0006751543
1.3;MPIB4;0;0;0;0
1.3;MPIB3;0;0;0;0.000626929
1.35;MPIB2;0.0008680556;0;0;0.0002893519
1.35;MPIB1;0;0;0;0.0006751543
1.35;MPIB4;0;0;0;0
1.35;MPIB3;0;0;0;0.0004822531
1.4;MPIB2;0.0008680556;0;0;0.0002893519
1.4;MPIB1;0;0;0;0.0006751543
1.4;MPIB4;0;0;0;0
1.4;MPIB3;0;0;0;0.0004822531
1.45;MPIB2;0.0008680556;0;0;0.0002893519
1.45;MPIB1;0;0;0;0.0006751543
1.45;MPIB4;0;0;0;0
1.45;MPIB3;0;0;0;0.0005304784
1.5;MPIB2;0.0008680556;0;0;0.0002893519
1.5;MPIB1;0;0;0;0.0006751543
1.5;MPIB4;0;0;0;0
1.5;MPIB3;0;0;0;0.0005304784
1.55;MPIB2;0.001060957;0;0;0.0002893519
1.55;MPIB1;0;0;0;0.0006751543
1.55;MPIB4;0;0;0;0
1.55;MPIB3;0;0;0;0.0005787037
1.6;MPIB2;0.001157407;0;0;0.0002893519
1.6;MPIB1;0;0;0;0.0006751543
1.6;MPIB4;0;0;0;0
1.6;MPIB3;0;0;0;0.0005787037
1.65;MPIB2;0.001157407;0;0;0.0002893519
1.65;MPIB1;0;0;0;0.0006751543
1.65;MPIB4;0;0;0;0
1.65;MPIB3;0;0;0;0.0005304784
1.7;MPIB2;0.001157407;0;0;0.0002893519
1.7;MPIB1;0;0;0;0.0006751543
1.7;MPIB4;0;0;0;0
1.7;MPIB3;0;0;0;0.0002893519
1.75;MPIB2;0.001157407;0;0;0.0002893519
1.75;MPIB1;0;0;0;0.0006751543
1.75;MPIB4;0;0;0;0
1.75;MPIB3;0;0;0;0.0005787037
1.8;MPIB2;0.001157407;0;0;0.0002893519
1.8;MPIB1;0;0;0;0.0006751543
1.8;MPIB4;0;0;0;0
1.8;MPIB3;0;0;0;0.0004340278
1.85;MPIB2;0.001157407;0;0;0.0002893519
1.85;MPIB1;0;0;0;0.0006751543
1.85;MPIB4;0;0;0;0
1.85;MPIB3;0;0;0;0.000626929
1.9;MPIB2;0.001157407;0;0;0.0002893519
1.9;MPIB1;0;0;0;0.0006751543
1.9;MPIB4;0;0;0;0
1.9;MPIB3;0;0;0;0.000626929
1.95;MPIB2;0.001157407;0;0;0.0002893519
1.95;MPIB1;0;0;0;0.0006751543
1.95;MPIB4;0;0;0;0
1.95;MPIB3;0;0;0;0.0004340278
2;MPIB2;0.001157407;0;0;0.0002893519
2;MPIB1;0;0;0;0.0006751543
2;MPIB4;0;0;0;0
2;MPIB3;0;0;0;0.0004340278
2.05;MPIB2;0.001157407;0;0;0.0002893519
2.05;MPIB1;0;0;0;0.0006751543
2.05;MPIB4;0;0;0;0
2.05;MPIB3;0;0;0;0.0004822531
2.1;MPIB2;0.001157407;0;0;0.0002893519
2.1;MPIB1;0;0;0;0.0006751543
2.1;MPIB4;0;0;0;0
2.1;MPIB3;0;0;0;0.0005304784
2.15;MPIB2;0.001157407;0;0;0.0002893519
2.15;MPIB1;0;0;0;0.0006751543
2.15;MPIB4;0;0;0;0
2.15;MPIB3;0;0;0;0.0004822531
2.2;MPIB2;0.001157407;0;0;0.0002893519
2.2;MPIB1;0;0;0;0.0006751543
2.2;MPIB4;0;0;0;0
2.2;MPIB3;0;0;0;0.0005304784
2.25;MPIB2;0.001157407;0;0;0.0002893519
2.25;MPIB1;0;0;0;0.0006751543
2.25;MPIB4;0;0;0;0
2.25;MPIB3;0;0;0;0.0005304784
2.3;MPIB2;0.001109182;0;0;0.0002893519
2.3;MPIB1;0;0;0;0.0006751543
2.3;MPIB4;0;0;0;0
2.3;MPIB3;0;0;0;0.0005304784
2.35;MPIB2;0.001109182;0;0;0.0002411265
2.35;MPIB1;0;0;0;0.0006751543
2.35;MPIB4;0;0;0;0
2.35;MPIB3;0;0;0;0.0005304784
2.4;MPIB2;0.0009645062;0;0;0.0003375772
2.4;MPIB1;0;0;0;0.0006751543
2.4;MPIB4;0;0;0;0
2.4;MPIB3;0;0;0;0.0005304784
2.45;MPIB2;0.0009645062;0;0;0.0003375772
2.45;MPIB1;0;0;0;0.0006751543
2.45;MPIB4;0;0;0;0
2.45;MPIB3;0;0;0;0.0005304784
2.5;MPIB2;0.0009645062;0;0;0.0003375772
2.5;MPIB1;0;0;0;0.0006751543
2.5;MPIB4;0;0;0;0
2.5;MPIB3;0;0;0;0.0005304784
2.55;MPIB2;0.0009645062;0;0;0.0003375772
2.55;MPIB1;0;0;0;0.0006751543
2.55;MPIB4;0;0;0;0
2.55;MPIB3;0;0;0;0.0005304784
2.6;MPIB2;0.0009645062;0;0;0.0003375772
2.6;MPIB1;0;0;0;0.0006751543
2.6;MPIB4;0;0;0;0
2.6;MPIB3;0;0;0;0.0005304784
2.65;MPIB2;0.0009645062;0;0;0.0003375772
2.65;MPIB1;0;0;0;0.0006751543
2.65;MPIB4;0;0;0;0
2.65;MPIB3;0;0;0;0.0005304784
2.7;MPIB2;0.0009645062;0;0;0.0003375772
2.7;MPIB1;0;0;0;0.0006751543
2.7;MPIB4;0;0;0;0
2.7;MPIB3;0;0;0;0.0005304784
2.75;MPIB2;0.0009645062;0;0;0.0003375772
2.75;MPIB1;0;0;0;0.0006751543
2.75;MPIB4;0;0;0;0
2.75;MPIB3;0;0;0;0.0005304784
2.8;MPIB2;0.0009645062;0;0;0.0003375772
2.8;MPIB1;0;0;0;0.0006751543
