Time;PlayerName;P1;P2;P3;P4
0;MPIB2;0;0;0;0.0001446759
0;MPIB3;0.03052662;0.001157407;0;0
0;MPIB1;0;0.003761574;0;0.0002893519
0;MPIB4;0;0;0;0
0.05;MPIB2;0;0;0;4.822531E-05
0.05;MPIB3;0.02488426;0.0005787037;0;0
0.05;MPIB1;0;0.002459491;0;0.0002893519
0.05;MPIB4;0;0;0;0
0.1;MPIB2;0;0;0;4.822531E-05
0.1;MPIB3;0.02488426;0.0009645062;0;0
0.1;MPIB1;0;0.002459491;0;0.0002893519
0.1;MPIB4;0;0;0;0
0.15;MPIB2;0;0;0;4.822531E-05
0.15;MPIB3;0.02488426;0.0009645062;0;0
0.15;MPIB1;0;0.002459491;0;0.0002893519
0.15;MPIB4;0;0;0;0
0.2;MPIB2;0;0;0;4.822531E-05
0.2;MPIB3;0.02488426;0.0009645062;0;0
0.2;MPIB1;0;0.002459491;0;0.0002893519
0.2;MPIB4;0;0;0;0
0.25;MPIB2;0;0;0;4.822531E-05
0.25;MPIB3;0.02488426;0.0009645062;0;0
0.25;MPIB1;0;0.00236304;0;0.0002893519
0.25;MPIB4;0;0;0;0
0.3;MPIB2;0;0;0;4.822531E-05
0.3;MPIB3;0.02488426;0.0007716049;0;0
0.3;MPIB1;0;0.002459491;0;0.0002893519
0.3;MPIB4;0;0;0;0
0.35;MPIB2;0;0;0;4.822531E-05
0.35;MPIB3;0.02488426;0.0007716049;0;0
0.35;MPIB1;0;0.002218364;0;0.0002893519
0.35;MPIB4;0;0;0;0
0.4;MPIB2;0;0;0;4.822531E-05
0.4;MPIB3;0.02488426;0.0009645062;0;0
0.4;MPIB1;0;0.002555941;0;0.0002893519
0.4;MPIB4;0;0;0;0
0.45;MPIB2;0;0;0;4.822531E-05
0.45;MPIB3;0.02488426;0.001398534;0;0
0.45;MPIB1;0;0.002893518;0;0.0002893519
0.45;MPIB4;0;0;0;0
0.5;MPIB2;0;0;0;9.645062E-05
0.5;MPIB3;0.02488426;0.001253858;0;0
0.5;MPIB1;0;0.002989969;0;0.0002893519
0.5;MPIB4;0;0;0;0
0.55;MPIB2;0;0;0;9.645062E-05
0.55;MPIB3;0.02488426;0.001302083;0;0
0.55;MPIB1;0;0.003423997;0;0.0002893519
0.55;MPIB4;0;0;0;0
0.6;MPIB2;0;0;0;9.645062E-05
0.6;MPIB3;0.02488426;0.001302083;0;0
0.6;MPIB1;0;0.003809799;0;0.0002411265
0.6;MPIB4;0;0;0;0
0.65;MPIB2;0;0;0;9.645062E-05
0.65;MPIB3;0.02406443;0.001446759;0;0
0.65;MPIB1;0;0.003568673;0;0.0002411265
0.65;MPIB4;0;0;0;0
0.7;MPIB2;0;0;0;0.0002411265
0.7;MPIB3;0.02372685;0.00163966;0;0
0.7;MPIB1;0;0.004436729;0;0.0001446759
0.7;MPIB4;0;0;0;0
0.75;MPIB2;0.005401235;0;0.004050926;0.0002893519
0.75;MPIB3;0.02449846;0.00163966;0;0
0.75;MPIB1;0;0.005111883;0;0.0002893519
0.75;MPIB4;0;0;0;0
0.8;MPIB2;0.00462963;0;0.004002701;0.0003375772
0.8;MPIB3;0.0240162;0.002025463;0;0
0.8;MPIB1;0;0.005256559;0;0.0001446759
0.8;MPIB4;0;0;0;0
0.85;MPIB2;0.0007716049;0;0.004918981;0
0.85;MPIB3;0.02527006;0.001784336;0;0
0.85;MPIB1;0;0.004870756;0;0.0002893519
0.85;MPIB4;0;0;0;0
0.9;MPIB2;0.0001446759;0;0.005111883;0
0.9;MPIB3;0.02608989;0.001832562;0;0
0.9;MPIB1;0;0.004774306;0;0.0003375772
0.9;MPIB4;0;0;0;0
0.95;MPIB2;0;0;0.004918981;0
0.95;MPIB3;0.02454668;0.001832562;0;0
0.95;MPIB1;0;0.003713349;0;0.0004822531
0.95;MPIB4;0;0;0;0
1;MPIB2;0;0;0;0
1;MPIB3;0.02430556;0.001977238;0;0
1;MPIB1;0;0.003472222;0;0.0004822531
1;MPIB4;0;0;0;0
1.05;MPIB2;0;0;0;0
1.05;MPIB3;0.02435378;0.002893518;0;0
1.05;MPIB1;0;0.003231096;0;0
1.05;MPIB4;0;0;0;0
1.1;MPIB2;0;0;0;0
1.1;MPIB3;0.02608989;0.003279321;0;0
1.1;MPIB1;0;0.003231096;0;0
1.1;MPIB4;0;0;0;0
1.15;MPIB2;0;0;0;0
1.15;MPIB3;0.02618634;0.003279321;0;0
1.15;MPIB1;0;0.003375772;0;0
1.15;MPIB4;0;0;0;0
1.2;MPIB2;0;0;0;0
1.2;MPIB3;0.02531829;0.003231096;0;0
1.2;MPIB1;0;0.003327546;0;4.822531E-05
1.2;MPIB4;0;0;0;0
1.25;MPIB2;0;0;0;0
1.25;MPIB3;0.0234375;0.003231096;0;0
1.25;MPIB1;0;0.004340278;0;0.0003858025
1.25;MPIB4;0;0;0;0
1.3;MPIB2;0;0;0;0
1.3;MPIB3;0.02416088;0.003134645;0;0
1.3;MPIB1;0;0.002025463;0;0
1.3;MPIB4;0;0;0;0
1.35;MPIB2;0;0;0;0
1.35;MPIB3;0.03206983;0.003327546;0;0
1.35;MPIB1;0;0.00390625;0;0
1.35;MPIB4;0;0;0;0
1.4;MPIB2;0;0;0;0.0001929012
1.4;MPIB3;0.03404707;0.003713349;0;0
1.4;MPIB1;0;0.004388503;0;0
1.4;MPIB4;0;0;0;0
1.45;MPIB2;0;0;0;0.0002411265
1.45;MPIB3;0.03901428;0.004099151;0;0
1.45;MPIB1;0;0.004243827;0;0
1.45;MPIB4;0;0;0;0
1.5;MPIB2;0;0;0;0.0001929012
1.5;MPIB3;0.04359568;0.004195602;0;0
1.5;MPIB1;0;0.004002701;0;0
1.5;MPIB4;0;0;0;0
1.55;MPIB2;0;0;0;0.0001929012
1.55;MPIB3;0.04947917;0.004099151;0;0
1.55;MPIB1;0;0.003520448;0;0
1.55;MPIB4;0;0;0;0
1.6;MPIB2;0;0;0;0.0002893519
1.6;MPIB3;0.05787037;0.004581404;0;0
1.6;MPIB1;0;0.003472222;0;0
1.6;MPIB4;0;0;0;0
1.65;MPIB2;0;0;0;0.0002893519
1.65;MPIB3;0.06843171;0.004677855;0;0
1.65;MPIB1;0;0.003520448;0;0
1.65;MPIB4;0;0;0;0
1.7;MPIB2;0;0;0;0.0001929012
1.7;MPIB3;0.0741223;0.00699267;0;0
1.7;MPIB1;0;0.003520448;0;0
1.7;MPIB4;0;0;0;0
1.75;MPIB2;0;0;0;0.0002411265
1.75;MPIB3;0.08106674;0.002411265;0;0
1.75;MPIB1;0;0.003472222;0;0
1.75;MPIB4;0;0;0;0
1.8;MPIB2;0;0;0;9.645062E-05
1.8;MPIB3;0.07923418;0.001929012;0;0
1.8;MPIB1;0;0.003327546;0;0
1.8;MPIB4;0;0;0;0
1.85;MPIB2;0;0;0;9.645062E-05
1.85;MPIB3;0.07518326;0.001302083;0;0
1.85;MPIB1;0;0.003134645;0;0
1.85;MPIB4;0;0;0;0
1.9;MPIB2;0;0;0;4.822531E-05
1.9;MPIB3;0.06978202;0.001687886;0;0
1.9;MPIB1;0;0.002989969;0;0
1.9;MPIB4;0;0;0;0
1.95;MPIB2;0;0;0;4.822531E-05
1.95;MPIB3;0.06524884;0.001784336;0;0
1.95;MPIB1;0;0.003134645;0;0
1.95;MPIB4;0;0;0;0
2;MPIB2;0;0;0;4.822531E-05
2;MPIB3;0.06674383;0.001687886;0;0
2;MPIB1;0;0.003231096;0;0
2;MPIB4;0;0;0;0
2.05;MPIB2;0;0;0;4.822531E-05
2.05;MPIB3;0.06428434;0.001687886;0;0
2.05;MPIB1;0;0.003231096;0;0
2.05;MPIB4;0;0;0;0
2.1;MPIB2;0;0;0;4.822531E-05
2.1;MPIB3;0.06428434;0.001687886;0;0
2.1;MPIB1;0;0.003231096;0;0
2.1;MPIB4;0;0;0;0
2.15;MPIB2;0;0;0;4.822531E-05
2.15;MPIB3;0.06467014;0.001687886;0;0
2.15;MPIB1;0;0.003327546;0;0
2.15;MPIB4;0;0;0;0
2.2;MPIB2;0;0;0;4.822531E-05
2.2;MPIB3;0.0655382;0.00154321;0;0
2.2;MPIB1;0;0.003327546;0;0
2.2;MPIB4;0;0;0;0
