"Time since round start";"Player Name";"X-Position";"Z-Position";"X-Look";"Y-Look";"Z-Look";"Visible Players";
0.0;MPIB1;13.5;45.5;0.2480958253145218;-0.5961612462997437;0.7635105848312378;[];
0.0;MPIB2;30.5;44.5;-0.08998666703701019;-0.36320239305496216;0.9273195266723633;[];
0.0;MPIB3;24.5;23.5;-0.6511937379837036;-0.34608107805252075;0.6753609776496887;[MPIB1,MPIB2];
0.0;MPIB4;52.5;36.5;-0.020643064752221107;-0.18219153583049774;0.9830288887023926;[];
0.0625;MPIB1;13.5;45.5;0.2480958253145218;-0.5961612462997437;0.7635105848312378;[];
0.0625;MPIB2;30.5;44.5;-0.08998666703701019;-0.36320239305496216;0.9273195266723633;[];
0.0625;MPIB3;24.5;23.5;-0.6511937379837036;-0.34608107805252075;0.6753609776496887;[];
0.0625;MPIB4;52.5;36.5;-0.020643064752221107;-0.18219153583049774;0.9830288887023926;[];
0.0625;MPIB1;13.5;45.5;0.2480958253145218;-0.5961612462997437;0.7635105848312378;[];
0.0625;MPIB2;30.5;44.5;-0.08998666703701019;-0.36320239305496216;0.9273195266723633;[];
0.0625;MPIB3;24.5;23.5;-0.6511937379837036;-0.34608107805252075;0.6753609776496887;[];
0.0625;MPIB4;52.5;36.5;-0.020643064752221107;-0.18219153583049774;0.9830288887023926;[];
0.125;MPIB1;13.5;45.5;0.2480958253145218;-0.5961612462997437;0.7635105848312378;[];
0.125;MPIB2;30.5;44.5;-0.08998666703701019;-0.36320239305496216;0.9273195266723633;[];
0.125;MPIB3;24.5;23.5;-0.6511937379837036;-0.34608107805252075;0.6753609776496887;[];
0.125;MPIB4;52.5;36.5;-0.020643064752221107;-0.18219153583049774;0.9830288887023926;[];
0.1875;MPIB1;13.5;45.5;0.2480958253145218;-0.5961612462997437;0.7635105848312378;[];
0.1875;MPIB2;30.5;44.5;-0.08998666703701019;-0.36320239305496216;0.9273195266723633;[];
0.1875;MPIB3;24.5;23.5;-0.6511937379837036;-0.34608107805252075;0.6753609776496887;[];
0.1875;MPIB4;52.5;36.5;-0.020643064752221107;-0.18219153583049774;0.9830288887023926;[];
0.25;MPIB1;13.5;45.5;0.2480958253145218;-0.5961612462997437;0.7635105848312378;[];
0.25;MPIB2;30.5;44.5;-0.08998666703701019;-0.36320239305496216;0.9273195266723633;[];
0.25;MPIB3;24.5;23.5;-0.6511937379837036;-0.34608107805252075;0.6753609776496887;[];
0.25;MPIB4;52.5;36.5;-0.020643064752221107;-0.18219153583049774;0.9830288887023926;[];
0.3125;MPIB1;13.5;45.5;0.2480958253145218;-0.5961612462997437;0.7635105848312378;[];
0.3125;MPIB2;30.5;44.5;-0.08998666703701019;-0.36320239305496216;0.9273195266723633;[];
0.3125;MPIB3;24.5;23.5;-0.6499410271644592;-0.35093367099761963;0.6740617752075195;[];
0.3125;MPIB4;52.5;36.5;-0.020643064752221107;-0.18219153583049774;0.9830288887023926;[];
0.3125;MPIB1;13.5;45.5;0.2480958253145218;-0.5961612462997437;0.7635105848312378;[];
0.3125;MPIB2;30.5;44.5;-0.08998666703701019;-0.36320239305496216;0.9273195266723633;[];
0.3125;MPIB3;24.5;23.5;-0.6435470581054688;-0.3681102991104126;0.671026349067688;[];
0.3125;MPIB4;52.5;36.5;-0.020643064752221107;-0.18219153583049774;0.9830288887023926;[];
0.375;MPIB1;13.5;45.5;0.2480958253145218;-0.5961612462997437;0.7635105848312378;[];
0.375;MPIB2;30.5;44.5;-0.08998666703701019;-0.36320239305496216;0.9273195266723633;[];
0.375;MPIB3;24.5;23.5;-0.632830023765564;-0.3874613642692566;0.6703218221664429;[];
0.375;MPIB4;52.5;36.5;-0.020643064752221107;-0.18219153583049774;0.9830288887023926;[];
