"Time since round start";"Player Name";"X-Position";"Z-Position";"X-Look";"Y-Look";"Z-Look";"Visible Players";
0.0;MPIB1;52.5;21.5;0.30185365676879883;-0.21554511785507202;0.9286465048789978;[];
0.0;MPIB2;59.5;43.5;0.07647988200187683;-0.3362579047679901;0.9386270642280579;[];
0.0;MPIB3;12.5;20.5;0.13248412311077118;-0.3411290943622589;0.9306005239486694;[];
0.0;MPIB4;49.5;36.5;-0.01011484395712614;-0.2511554956436157;0.9678698182106018;[];
0.0625;MPIB1;52.5;21.5;0.30185365676879883;-0.21554511785507202;0.9286465048789978;[];
0.0625;MPIB2;59.5;43.5;0.07647988200187683;-0.3362579047679901;0.9386270642280579;[];
0.0625;MPIB3;12.5;20.5;0.13248412311077118;-0.3411290943622589;0.9306005239486694;[];
0.0625;MPIB4;49.5;36.5;-0.01011484395712614;-0.2511554956436157;0.9678698182106018;[];
0.0625;MPIB1;52.5;21.5;0.30185365676879883;-0.21554511785507202;0.9286465048789978;[];
0.0625;MPIB2;59.5;43.5;0.06666700541973114;-0.3362579047679901;0.9393749833106995;[];
0.0625;MPIB3;12.5;20.5;0.13248412311077118;-0.3411290943622589;0.9306005239486694;[];
0.0625;MPIB4;49.5;36.5;-0.01011484395712614;-0.2511554956436157;0.9678698182106018;[];
0.125;MPIB1;52.5;21.5;0.30185365676879883;-0.21554511785507202;0.9286465048789978;[];
0.125;MPIB2;59.5;43.5;0.05927998200058937;-0.3362579047679901;0.9398701190948486;[];
0.125;MPIB3;12.5;20.5;0.13248412311077118;-0.3411290943622589;0.9306005239486694;[];
0.125;MPIB4;49.5;36.5;-0.01011484395712614;-0.2511554956436157;0.9678698182106018;[];
0.1875;MPIB1;52.5;21.5;0.30185365676879883;-0.21554511785507202;0.9286465048789978;[];
0.1875;MPIB2;59.5;43.5;0.05927998200058937;-0.3362579047679901;0.9398701190948486;[];
0.1875;MPIB3;12.5;20.5;0.13248412311077118;-0.3411290943622589;0.9306005239486694;[];
0.1875;MPIB4;49.5;36.5;-0.01011484395712614;-0.2511554956436157;0.9678698182106018;[];
0.25;MPIB1;52.5;21.5;0.30185365676879883;-0.21554511785507202;0.9286465048789978;[];
0.25;MPIB2;59.5;43.5;0.04210037365555763;-0.33372852206230164;0.9416965842247009;[];
0.25;MPIB3;12.5;20.5;0.13489262759685516;-0.3411290943622589;0.9302544593811035;[];
0.25;MPIB4;49.5;36.5;-0.01011484395712614;-0.2511554956436157;0.9678698182106018;[];
0.3125;MPIB1;52.5;21.5;0.30185365676879883;-0.21554511785507202;0.9286465048789978;[];
0.3125;MPIB2;59.5;43.5;0.04210037365555763;-0.33372852206230164;0.9416965842247009;[];
0.3125;MPIB3;12.5;20.5;0.13489262759685516;-0.3411290943622589;0.9302544593811035;[];
0.3125;MPIB4;49.5;36.5;-0.01011484395712614;-0.2511554956436157;0.9678698182106018;[];
0.3125;MPIB1;52.5;21.5;0.30185365676879883;-0.21554511785507202;0.9286465048789978;[];
0.3125;MPIB2;59.5;43.5;0.04210037365555763;-0.33372852206230164;0.9416965842247009;[];
0.3125;MPIB3;12.5;20.5;0.13489262759685516;-0.3411290943622589;0.9302544593811035;[];
0.3125;MPIB4;49.5;36.5;-0.01011484395712614;-0.2511554956436157;0.9678698182106018;[];
0.375;MPIB1;52.5;21.5;0.30185365676879883;-0.21554511785507202;0.9286465048789978;[];
0.375;MPIB2;59.5;43.5;0.03966256603598595;-0.33372852206230164;0.9418023824691772;[];
0.375;MPIB3;12.5;20.5;0.13489262759685516;-0.3411290943622589;0.9302544593811035;[];
0.375;MPIB4;49.5;36.5;-0.01011484395712614;-0.2511554956436157;0.9678698182106018;[];
0.4375;MPIB1;52.5;21.5;0.3087806701660156;-0.22069120407104492;0.9251533150672913;[];
0.4375;MPIB2;59.5;43.5;0.037134189158678055;-0.33372852206230164;0.9419054985046387;[];
0.4375;MPIB3;12.5;20.5;0.13489262759685516;-0.3411290943622589;0.9302544593811035;[];
0.4375;MPIB4;49.5;36.5;-0.01011484395712614;-0.2511554956436157;0.9678698182106018;[];
0.5;MPIB1;52.5;21.5;0.3221052587032318;-0.2359057515859604;0.9168165922164917;[];
0.5;MPIB2;59.5;43.5;0.022278355434536934;-0.33869463205337524;0.9406000971794128;[];
0.5;MPIB3;12.5;20.5;0.13489262759685516;-0.3411290943622589;0.9302544593811035;[];
0.5;MPIB4;49.5;36.5;-0.01011484395712614;-0.2511554956436157;0.9678698182106018;[];
0.5625;MPIB1;52.5;21.5;0.33293747901916504;-0.24864903092384338;0.9095494151115417;[];
0.5625;MPIB2;59.5;43.5;-0.0023408210836350918;-0.34365129470825195;0.9390614628791809;[];
0.5625;MPIB3;12.5;20.5;0.13925307989120483;-0.35102346539497375;0.9259201288223267;[];
0.5625;MPIB4;49.5;36.5;-0.01011484395712614;-0.2511554956436157;0.9678698182106018;[];
0.5625;MPIB1;52.5;21.5;0.3389100134372711;-0.2612568736076355;0.9037900567054749;[];
0.5625;MPIB2;59.5;43.5;-0.060534924268722534;-0.3729189932346344;0.9258512854576111;[];
0.5625;MPIB3;12.5;20.5;0.15054890513420105;-0.4304995536804199;0.8899048566818237;[];
0.5625;MPIB4;49.5;36.5;-0.01011484395712614;-0.2511554956436157;0.9678698182106018;[];
0.625;MPIB1;52.5363192781806;21.591017983853817;0.3548658490180969;-0.2889999747276306;0.8890984654426575;[];
0.625;MPIB2;59.5;43.5;-0.10995575040578842;-0.44223135709762573;0.8900927305221558;[];
0.625;MPIB3;12.5;20.5;-0.2829805910587311;-0.6333551406860352;0.7202008366584778;[];
0.625;MPIB4;49.5;36.5;-0.01011484395712614;-0.2511554956436157;0.9678698182106018;[];
0.6875;MPIB1;52.593886823171005;21.731152986859854;0.3666155934333801;-0.3064810633659363;0.8784112930297852;[];
0.6875;MPIB2;59.5;43.5;-0.14811423420906067;-0.5467707514762878;0.8240243792533875;[];
0.6875;MPIB3;12.5;20.5;-0.5374974012374878;-0.6652122139930725;0.5181640386581421;[];
0.6875;MPIB4;49.5;36.5;0.03470202535390854;-0.3189568817615509;0.9471031427383423;[];
0.75;MPIB1;52.66588091885385;21.89687439387228;0.3880189061164856;-0.3485085368156433;0.8531825542449951;[];
0.75;MPIB2;59.5;43.5;-0.14703810214996338;-0.5898310542106628;0.7939696907997131;[];
0.75;MPIB3;12.5;20.5;-0.5864737033843994;-0.6211097240447998;0.519786536693573;[];
0.75;MPIB4;49.5;36.5;0.26473021507263184;-0.4351666569709778;0.8605072498321533;[];
0.8125;MPIB1;52.748991245759306;22.07502063182153;0.4143275320529938;-0.37540847063064575;0.8290563821792603;[];
0.8125;MPIB2;59.5;43.5;-0.1561564803123474;-0.5983143448829651;0.7858391404151917;[];
