,Asocial,Unbiased,Success-based,Unique,ARS,Critical,Conditional,ConditionalARS
1,1288.008856,1288.653524,1289.690885,1290.922639,1278.261142,1276.544444,1279.20342,1274.080606
2,608.0405792,608.2815628,609.1449724,606.0096873,612.5073062,611.6771385,611.8794655,615.5595738
3,921.4043737,921.2357339,923.0043095,924.033731,918.9781658,922.8025061,920.5174203,918.6502229
4,1052.018692,1048.000197,1019.920082,1047.672204,1005.324918,1022.990229,991.8403102,965.9233771
5,1041.3493,1036.463387,1037.696082,1035.69841,1019.64174,1033.079357,1032.954245,1017.57802
6,831.1207741,826.6355808,826.3903632,828.914553,816.9491763,829.1305255,818.6884243,809.7795649
7,1061.120585,1050.855477,1017.585507,1052.150686,1029.983012,1025.369424,1003.805559,986.9773789
8,1060.816848,1057.147131,1057.302924,1060.092161,1044.345467,1056.750668,1056.66865,1040.666662
9,977.9565376,973.7942304,968.0371706,964.4300139,969.7197936,969.9594999,964.6781273,958.2996799
10,679.1276874,662.1495395,665.3116094,660.3612829,660.3619514,664.7688617,651.7699903,637.5130591
11,1093.93788,1084.684158,1068.2426,1079.222682,1046.139764,1068.123619,1046.254774,1010.242781
12,1033.977178,1035.12962,1033.298516,1040.883181,1014.500084,1031.71042,1028.513043,1012.923749
13,1128.674302,1132.782109,1128.109421,1135.083898,1107.827735,1123.542415,1127.101932,1106.820787
14,1086.50739,1052.551872,1045.808388,1060.999782,1049.834449,1048.680488,1040.473828,1012.659612
15,919.766137,914.6836051,905.0595751,907.8231978,889.3559019,900.4694716,876.1183676,857.3972201
16,861.8314259,852.9429295,851.4601936,844.2783427,841.2958354,845.4029296,852.6573971,834.8266133
17,750.6248009,751.0466835,746.7472224,755.5810583,752.6329068,747.7508558,743.9144216,747.4918105
18,926.7216663,920.5889509,921.9180904,916.1318295,863.7074771,920.0602283,923.195104,864.669317
19,820.356169,819.1140541,816.1209491,824.2594218,783.7760754,816.9958299,803.7525989,783.9000386
20,1245.549216,1247.826679,1247.626547,1245.984071,1225.748835,1247.976285,1248.185258,1228.620285
21,1112.193442,1111.364121,1111.790718,1117.867413,1088.717822,1106.543743,1112.468103,1088.394339
22,783.0840962,785.7451297,788.3354101,782.5703032,751.6016448,787.2008941,790.3959038,754.7779952
23,910.6861537,903.3300517,900.9905703,896.2056885,902.2964672,900.7321848,903.1744128,897.8696105
24,1257.971292,1252.678295,1255.276972,1252.516788,1227.94717,1253.712058,1256.688856,1222.652439
25,1324.016785,1321.942175,1322.864688,1323.761352,1285.224735,1314.699549,1323.218236,1283.642178
26,1200.802026,1191.172633,1189.322969,1185.389172,1173.884844,1191.387001,1178.566851,1161.910377
27,850.4849591,850.5371148,853.3138551,834.9574879,852.1942048,854.9363474,849.7048929,852.5474347
28,1053.842434,1053.987759,1053.366145,1057.628274,1049.662847,1050.994555,1055.106931,1050.099443
29,1175.704397,1170.959141,1172.69304,1175.696958,1148.300048,1172.47696,1169.630623,1147.036302
30,1038.136237,1035.859205,1037.963553,1034.752214,1007.263217,1035.809623,1042.609939,1009.155052
31,1252.750649,1251.530258,1252.256143,1251.047411,1252.869745,1253.880085,1252.30764,1252.634332
32,1170.310945,1156.137793,1144.342785,1159.858179,1162.980596,1145.730824,1145.351928,1136.313765
33,1095.763105,1085.042308,1080.091026,1091.581939,1077.357727,1080.66273,1075.648618,1060.363326
34,1163.38634,1165.325373,1161.483122,1174.868657,1146.102877,1161.764726,1160.821061,1144.579953
35,889.3796579,880.3647984,881.2526001,857.9576565,861.1126824,879.8388895,880.4767911,853.4062792
36,965.446017,965.9173335,965.5103918,968.5292843,968.1875402,965.8263695,965.9828809,968.2525639
37,681.1974453,678.3212437,678.5464651,685.0486853,683.6279094,678.6036892,680.0343729,682.0858076
38,1201.919372,1206.975784,1202.104192,1185.186031,1183.305346,1202.404605,1203.875698,1184.881915
39,1210.432826,1216.275942,1216.309947,1205.516465,1187.091113,1214.793449,1213.491094,1191.20302
40,664.2219247,662.3290458,663.2351077,660.8174997,664.6897084,664.2112168,662.6924872,663.3633676
41,963.0888965,961.3022077,934.1037633,950.4678839,962.136235,934.515573,921.3932206,925.9831234
42,972.6223137,951.2696189,937.5381458,942.8521001,962.903433,936.5882826,939.1283582,931.0155922
43,309.6951473,305.3197038,306.344735,307.2061938,309.7647246,306.6251585,306.9686116,306.890577
44,736.162857,733.6241797,728.7093785,714.6364804,732.989415,726.3033302,730.2818957,726.6760291
45,994.0504659,985.2779187,989.2294571,981.9791239,973.0262435,985.5479688,978.8678974,964.9880655
46,1606.103315,1613.790721,1613.853321,1597.311288,1571.416575,1611.924333,1609.860335,1577.078452
47,957.9158752,959.7375579,957.1806064,953.5960128,959.6833132,952.5610208,957.8183388,959.0006017
48,1002.074044,977.9480181,986.4277326,990.1060665,988.4052201,986.7538085,989.5636969,968.6150716
49,1534.796658,1521.5582,1519.432953,1525.673457,1508.239521,1517.657811,1515.739533,1495.560069
50,956.3369873,957.5395228,951.9573952,957.6152803,945.7822612,953.3577869,953.2162033,942.5452559
51,1326.310649,1329.955622,1328.573566,1326.535264,1297.063992,1327.846271,1324.956855,1297.670832
52,958.4372231,959.3058565,961.4675976,963.6223441,964.1759707,963.7531241,963.1592361,967.591128
53,1296.704204,1290.404297,1287.688373,1290.568936,1261.855898,1276.678122,1286.246715,1254.304616
54,1027.036116,1018.307731,1014.652601,1014.987965,1015.982929,1009.55457,1010.334414,1000.546667
55,1171.684526,1168.488516,1167.174517,1169.307971,1147.102368,1166.243436,1167.406915,1143.892765
56,956.0758276,953.7129445,954.5012871,949.1338909,960.9021928,951.5589741,949.1075256,957.4868805
57,882.2497133,867.959729,870.6801679,877.7965329,877.0663503,871.14689,869.3244753,864.6388432
