"Time since round start";"Player Name";"X-Position";"Z-Position";"Reward";
3.35;MPIB3;53.0;26.0;false;
3.5;MPIB1;59.0;44.0;true;
3.65;MPIB2;38.0;8.0;true;
3.95;MPIB4;5.0;50.0;false;
6.3;MPIB3;53.0;29.0;false;
6.8;MPIB1;59.0;41.0;false;
6.85;MPIB4;5.0;47.0;false;
7.05;MPIB2;35.0;8.0;true;
9.1;MPIB3;53.0;32.0;false;
9.5;MPIB4;5.0;44.0;false;
9.75;MPIB1;56.0;41.0;true;
10.45;MPIB2;38.0;11.0;true;
11.85;MPIB3;53.0;35.0;false;
12.2;MPIB4;5.0;41.0;false;
13.35;MPIB1;56.0;44.0;false;
13.75;MPIB2;41.0;11.0;true;
14.5;MPIB3;53.0;38.0;false;
15.05;MPIB4;5.0;38.0;false;
16.1;MPIB1;56.0;47.0;false;
17.05;MPIB3;53.0;41.0;false;
17.4;MPIB2;41.0;8.0;true;
18.05;MPIB4;5.0;35.0;false;
19.2;MPIB1;59.0;47.0;false;
19.8;MPIB3;53.0;44.0;false;
20.65;MPIB2;41.0;5.0;false;
20.7;MPIB4;8.0;35.0;false;
22.35;MPIB3;53.0;47.0;false;
22.6;MPIB1;56.0;53.0;false;
23.85;MPIB4;8.0;32.0;true;
24.05;MPIB2;44.0;5.0;false;
25.05;MPIB3;53.0;50.0;false;
25.8;MPIB1;53.0;56.0;false;
26.45;MPIB4;8.0;29.0;true;
28.0;MPIB3;50.0;50.0;false;
29.3;MPIB4;5.0;29.0;true;
29.6;MPIB2;53.0;5.0;false;
30.7;MPIB3;47.0;50.0;false;
31.25;MPIB1;47.0;56.0;true;
32.15;MPIB4;5.0;32.0;true;
33.05;MPIB2;53.0;8.0;false;
34.45;MPIB1;44.0;53.0;false;
35.45;MPIB4;11.0;32.0;false;
35.85;MPIB3;44.0;50.0;false;
37.2;MPIB1;44.0;56.0;true;
38.05;MPIB2;56.0;14.0;false;
38.1;MPIB4;11.0;29.0;true;
38.55;MPIB3;41.0;50.0;false;
40.55;MPIB1;44.0;59.0;true;
41.25;MPIB3;38.0;50.0;false;
41.4;MPIB4;8.0;26.0;true;
41.7;MPIB2;56.0;17.0;false;
43.55;MPIB1;47.0;59.0;true;
44.0;MPIB3;35.0;50.0;false;
44.4;MPIB4;11.0;26.0;true;
45.65;MPIB2;56.0;20.0;false;
46.7;MPIB3;32.0;50.0;false;
47.05;MPIB1;50.0;59.0;false;
47.7;MPIB4;5.0;26.0;true;
49.05;MPIB2;56.0;26.0;false;
49.25;MPIB3;29.0;50.0;false;
50.3;MPIB1;50.0;56.0;false;
50.95;MPIB4;8.0;23.0;true;
51.85;MPIB3;26.0;50.0;false;
52.3;MPIB2;56.0;23.0;false;
53.85;MPIB1;47.0;53.0;true;
54.25;MPIB4;5.0;23.0;true;
54.8;MPIB3;23.0;50.0;false;
57.35;MPIB3;20.0;50.0;false;
57.4;MPIB2;47.0;29.0;false;
57.7;MPIB4;11.0;23.0;true;
59.1;MPIB1;38.0;56.0;true;
60.25;MPIB3;17.0;50.0;false;
60.75;MPIB4;8.0;20.0;false;
60.95;MPIB2;44.0;29.0;false;
61.85;MPIB1;35.0;56.0;true;
62.95;MPIB3;14.0;50.0;false;
64.05;MPIB4;11.0;20.0;false;
64.45;MPIB2;41.0;26.0;true;
64.6;MPIB1;35.0;59.0;true;
65.5;MPIB3;11.0;50.0;true;
67.45;MPIB4;14.0;23.0;false;
67.55;MPIB1;38.0;59.0;true;
67.95;MPIB2;41.0;23.0;false;
68.45;MPIB3;8.0;50.0;true;
70.55;MPIB4;14.0;26.0;true;
71.55;MPIB3;8.0;53.0;false;
71.65;MPIB2;38.0;26.0;false;
73.3;MPIB4;14.0;29.0;true;
74.55;MPIB1;41.0;59.0;false;
74.55;MPIB3;5.0;53.0;false;
75.05;MPIB2;41.0;29.0;true;
76.5;MPIB4;17.0;29.0;true;
77.55;MPIB1;41.0;56.0;true;
78.1;MPIB3;8.0;47.0;false;
78.65;MPIB2;38.0;29.0;false;
79.6;MPIB4;17.0;26.0;false;
80.65;MPIB1;41.0;53.0;false;
81.15;MPIB3;11.0;47.0;false;
82.75;MPIB4;14.0;32.0;false;
83.05;MPIB2;44.0;26.0;true;
83.9;MPIB1;38.0;53.0;false;
84.0;MPIB3;14.0;47.0;false;
85.6;MPIB4;17.0;32.0;true;
86.75;MPIB3;17.0;47.0;false;
88.3;MPIB1;32.0;44.0;false;
88.45;MPIB4;14.0;35.0;false;
90.15;MPIB3;14.0;53.0;true;
91.1;MPIB1;32.0;41.0;false;
91.2;MPIB2;26.0;14.0;true;
91.6;MPIB4;17.0;35.0;false;
93.3;MPIB3;11.0;53.0;true;
93.8;MPIB1;32.0;38.0;true;
94.9;MPIB4;20.0;32.0;true;
95.1;MPIB2;26.0;11.0;true;
96.25;MPIB3;11.0;56.0;false;
96.6;MPIB1;32.0;35.0;false;
97.9;MPIB4;20.0;29.0;false;
98.45;MPIB2;29.0;14.0;true;
99.3;MPIB3;8.0;56.0;false;
99.65;MPIB1;35.0;35.0;false;
100.65;MPIB4;23.0;32.0;false;
101.85;MPIB2;29.0;11.0;true;
102.45;MPIB3;14.0;56.0;false;
102.8;MPIB1;35.0;38.0;true;
103.85;MPIB4;23.0;29.0;false;
105.15;MPIB3;17.0;56.0;false;
106.0;MPIB1;38.0;41.0;false;
106.0;MPIB2;29.0;17.0;true;
106.8;MPIB4;26.0;32.0;false;
108.8;MPIB3;20.0;56.0;false;
109.15;MPIB1;35.0;41.0;false;
109.55;MPIB2;26.0;17.0;true;
109.6;MPIB4;26.0;29.0;false;
111.95;MPIB3;23.0;56.0;false;
112.25;MPIB1;35.0;44.0;false;
112.3;MPIB4;29.0;29.0;false;
113.1;MPIB2;23.0;14.0;true;
114.85;MPIB3;26.0;56.0;false;
115.45;MPIB1;38.0;38.0;false;
116.35;MPIB4;32.0;26.0;false;
116.5;MPIB2;23.0;11.0;true;
117.65;MPIB3;29.0;56.0;false;
118.5;MPIB1;38.0;35.0;false;
119.25;MPIB4;35.0;23.0;false;
