"Time since round start";"Player Name";"X-Position";"Z-Position";"X-Look";"Y-Look";"Z-Look";"Visible Players";
0;MPIB1;6.5;8.5;0.957952082157135;-0.28146493434906006;-0.05516666918992996;[MPIB2,MPIB3,MPIB4];
0;MPIB2;49.5;19.5;-0.09765837341547012;-0.3558664619922638;-0.9293859004974365;[];
0;MPIB3;50.5;55.5;-0.8228093981742859;-0.25625601410865784;0.5072179436683655;[MPIB1,MPIB2];
0;MPIB4;9.5;27.5;0.08862175792455673;-0.3362579047679901;0.9375585913658142;[];
0.05;MPIB1;6.5;8.5;0.957952082157135;-0.28146493434906006;-0.05516666918992996;[];
0.05;MPIB2;49.5;19.5;-0.09765837341547012;-0.3558664619922638;-0.9293859004974365;[];
0.05;MPIB3;50.5;55.5;-0.8228093981742859;-0.25625601410865784;0.5072179436683655;[];
0.05;MPIB4;9.5;27.5;0.08862175792455673;-0.3362579047679901;0.9375585913658142;[];
0.1;MPIB1;6.5;8.5;0.957952082157135;-0.28146493434906006;-0.05516666918992996;[];
0.1;MPIB2;49.5;19.5;-0.09765837341547012;-0.3558664619922638;-0.9293859004974365;[];
0.1;MPIB3;50.5;55.5;-0.8228093981742859;-0.25625601410865784;0.5072179436683655;[];
0.1;MPIB4;9.5;27.5;0.08862175792455673;-0.3362579047679901;0.9375585913658142;[];
0.15;MPIB1;6.5;8.5;0.957952082157135;-0.28146493434906006;-0.05516666918992996;[];
0.15;MPIB2;49.5;19.5;-0.09765837341547012;-0.3558664619922638;-0.9293859004974365;[];
0.15;MPIB3;50.5;55.5;-0.8228093981742859;-0.25625601410865784;0.5072179436683655;[];
0.15;MPIB4;9.5;27.5;0.08862175792455673;-0.3362579047679901;0.9375585913658142;[];
0.2;MPIB1;6.5;8.5;0.957952082157135;-0.28146493434906006;-0.05516666918992996;[];
0.2;MPIB2;49.5;19.5;-0.09765837341547012;-0.3558664619922638;-0.9293859004974365;[];
0.2;MPIB3;50.5;55.5;-0.8228093981742859;-0.25625601410865784;0.5072179436683655;[];
0.2;MPIB4;9.5;27.5;0.08862175792455673;-0.3362579047679901;0.9375585913658142;[];
0.25;MPIB1;6.5;8.5;0.957952082157135;-0.28146493434906006;-0.05516666918992996;[];
0.25;MPIB2;49.5;19.5;-0.09765837341547012;-0.3558664619922638;-0.9293859004974365;[];
0.25;MPIB3;50.5;55.5;-0.8228093981742859;-0.25625601410865784;0.5072179436683655;[];
0.25;MPIB4;9.5;27.5;0.08862175792455673;-0.3362579047679901;0.9375585913658142;[];
0.3;MPIB1;6.5;8.5;0.957952082157135;-0.28146493434906006;-0.05516666918992996;[];
0.3;MPIB2;49.5;19.5;-0.09765837341547012;-0.3558664619922638;-0.9293859004974365;[];
0.3;MPIB3;50.5;55.5;-0.8228093981742859;-0.25625601410865784;0.5072179436683655;[];
0.3;MPIB4;9.5;27.5;0.08862175792455673;-0.3362579047679901;0.9375585913658142;[];
0.35;MPIB1;6.5;8.5;0.957952082157135;-0.28146493434906006;-0.05516666918992996;[];
0.35;MPIB2;49.5;19.5;-0.09765837341547012;-0.3558664619922638;-0.9293859004974365;[];
0.35;MPIB3;50.5;55.5;-0.8228093981742859;-0.25625601410865784;0.5072179436683655;[];
0.35;MPIB4;9.5;27.5;0.08862175792455673;-0.3362579047679901;0.9375585913658142;[];
0.4;MPIB1;6.5;8.5;0.957952082157135;-0.28146493434906006;-0.05516666918992996;[];
0.4;MPIB2;49.5;19.5;-0.09765837341547012;-0.3558664619922638;-0.9293859004974365;[];
0.4;MPIB3;50.5;55.5;-0.8228093981742859;-0.25625601410865784;0.5072179436683655;[];
0.4;MPIB4;9.5;27.5;0.08862175792455673;-0.3362579047679901;0.9375585913658142;[];
0.45;MPIB1;6.5;8.5;0.957952082157135;-0.28146493434906006;-0.05516666918992996;[];
0.45;MPIB2;49.5;19.5;-0.09765837341547012;-0.3558664619922638;-0.9293859004974365;[];
0.45;MPIB3;50.5;55.5;-0.8228093981742859;-0.25625601410865784;0.5072179436683655;[];
0.45;MPIB4;9.5;27.5;0.08862175792455673;-0.3362579047679901;0.9375585913658142;[];
0.5;MPIB1;6.5;8.5;0.957952082157135;-0.28146493434906006;-0.05516666918992996;[];
0.5;MPIB2;49.5;19.5;-0.09765837341547012;-0.3558664619922638;-0.9293859004974365;[];
0.5;MPIB3;50.5;55.5;-0.8228093981742859;-0.25625601410865784;0.5072179436683655;[];
0.5;MPIB4;9.5;27.5;0.08862175792455673;-0.3362579047679901;0.9375585913658142;[];
0.55;MPIB1;6.5;8.5;0.957952082157135;-0.28146493434906006;-0.05516666918992996;[];
0.55;MPIB2;49.5;19.5;-0.09765837341547012;-0.3558664619922638;-0.9293859004974365;[];
0.55;MPIB3;50.5;55.5;-0.8228093981742859;-0.25625601410865784;0.5072179436683655;[];
0.55;MPIB4;9.5;27.5;0.08862175792455673;-0.3362579047679901;0.9375585913658142;[];
0.6;MPIB1;6.5;8.5;0.957952082157135;-0.28146493434906006;-0.05516666918992996;[];
0.6;MPIB2;49.5;19.5;-0.09765837341547012;-0.3558664619922638;-0.9293859004974365;[];
