,simulation_number,env_file,agent_type,n_agents,dist_weight,in_view_weight,gp_weight,any_social_weight,success_social_weight,lengthscale,signalvariance,init_seed,policy_seed,step,final,max_reward,min_reward,tot_reward,tot_pairwise_dist,n_foraged_blocks,min_distance_traveled_prop,max_distance_traveled_prop,mean_distance_traveled_prop
0,0,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,2917820595,100,False,2,2,2,0.0,7.0,0.21,0.21,0.21
1,0,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,2917820595,200,False,4,4,4,0.0,14.0,0.225,0.225,0.225
2,0,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,2917820595,300,False,5,5,5,0.0,21.0,0.2,0.2,0.2
3,0,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,2917820595,400,False,9,9,9,0.0,28.0,0.23,0.23,0.23
4,0,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,2917820595,500,False,13,13,13,0.0,35.0,0.226,0.226,0.226
5,0,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,2917820595,599,False,15,15,15,0.0,42.0,0.21368948247078465,0.21368948247078465,0.21368948247078465
6,1,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,106126055,100,False,2,2,2,0.0,7.0,0.19,0.19,0.19
7,1,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,106126055,200,False,4,4,4,0.0,15.0,0.18,0.18,0.18
8,1,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,106126055,300,False,6,6,6,0.0,21.0,0.21666666666666667,0.21666666666666667,0.21666666666666667
9,1,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,106126055,400,False,7,7,7,0.0,28.0,0.2225,0.2225,0.2225
10,1,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,106126055,500,False,10,10,10,0.0,35.0,0.214,0.214,0.214
11,1,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,106126055,599,False,13,13,13,0.0,43.0,0.21202003338898165,0.21202003338898165,0.21202003338898165
12,2,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,2168140204,100,False,0,0,0,0.0,7.0,0.16,0.16,0.16
13,2,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,2168140204,200,False,4,4,4,0.0,15.0,0.165,0.165,0.165
14,2,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,2168140204,300,False,5,5,5,0.0,22.0,0.17666666666666667,0.17666666666666667,0.17666666666666667
15,2,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,2168140204,400,False,7,7,7,0.0,30.0,0.1625,0.1625,0.1625
16,2,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,2168140204,500,False,10,10,10,0.0,37.0,0.168,0.168,0.168
17,2,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,2168140204,599,False,13,13,13,0.0,45.0,0.17362270450751252,0.17362270450751252,0.17362270450751252
18,3,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,914025054,100,False,0,0,0,0.0,7.0,0.14,0.14,0.14
19,3,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,914025054,200,False,3,3,3,0.0,14.0,0.215,0.215,0.215
20,3,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,914025054,300,False,5,5,5,0.0,22.0,0.19666666666666666,0.19666666666666666,0.19666666666666666
21,3,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,914025054,400,False,7,7,7,0.0,29.0,0.205,0.205,0.205
22,3,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,914025054,500,False,10,10,10,0.0,36.0,0.2,0.2,0.2
23,3,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,914025054,599,False,11,11,11,0.0,44.0,0.19031719532554256,0.19031719532554256,0.19031719532554256
24,4,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,1821507241,100,False,0,0,0,0.0,6.0,0.26,0.26,0.26
25,4,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,1821507241,200,False,2,2,2,0.0,14.0,0.235,0.235,0.235
26,4,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,1821507241,300,False,4,4,4,0.0,21.0,0.20333333333333334,0.20333333333333334,0.20333333333333334
27,4,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,1821507241,400,False,6,6,6,0.0,29.0,0.2,0.2,0.2
28,4,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,1821507241,500,False,10,10,10,0.0,36.0,0.204,0.204,0.204
29,4,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,1821507241,599,False,15,15,15,0.0,43.0,0.19699499165275458,0.19699499165275458,0.19699499165275458
30,5,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,34385081,100,False,0,0,0,0.0,7.0,0.24,0.24,0.24
31,5,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,34385081,200,False,3,3,3,0.0,14.0,0.23,0.23,0.23
32,5,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,34385081,300,False,4,4,4,0.0,21.0,0.20333333333333334,0.20333333333333334,0.20333333333333334
33,5,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,34385081,400,False,7,7,7,0.0,29.0,0.1975,0.1975,0.1975
34,5,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,398115220,34385081,500,False,8,8,8,0.0,36.0,0.198,0.198,0.198
