,simulation_number,env_file,agent_type,n_agents,dist_weight,in_view_weight,gp_weight,any_social_weight,success_social_weight,lengthscale,signalvariance,init_seed,policy_seed,step,final,max_reward,min_reward,tot_reward,tot_pairwise_dist,n_foraged_blocks,min_distance_traveled_prop,max_distance_traveled_prop,mean_distance_traveled_prop
0,0,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3031213235,100,False,2,2,2,0.0,7.0,0.21,0.21,0.21
1,0,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3031213235,200,False,2,2,2,0.0,15.0,0.175,0.175,0.175
2,0,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3031213235,300,False,2,2,2,0.0,22.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
3,0,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3031213235,400,False,4,4,4,0.0,30.0,0.1775,0.1775,0.1775
4,0,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3031213235,500,False,4,4,4,0.0,37.0,0.188,0.188,0.188
5,0,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3031213235,599,False,7,7,7,0.0,44.0,0.19365609348914858,0.19365609348914858,0.19365609348914858
6,1,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,2449627326,100,False,2,2,2,0.0,7.0,0.18,0.18,0.18
7,1,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,2449627326,200,False,5,5,5,0.0,14.0,0.185,0.185,0.185
8,1,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,2449627326,300,False,8,8,8,0.0,22.0,0.19,0.19,0.19
9,1,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,2449627326,400,False,11,11,11,0.0,29.0,0.2,0.2,0.2
10,1,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,2449627326,500,False,12,12,12,0.0,36.0,0.192,0.192,0.192
11,1,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,2449627326,599,False,15,15,15,0.0,44.0,0.19365609348914858,0.19365609348914858,0.19365609348914858
12,2,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3598781315,100,False,2,2,2,0.0,7.0,0.14,0.14,0.14
13,2,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3598781315,200,False,8,8,8,0.0,15.0,0.145,0.145,0.145
14,2,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3598781315,300,False,12,12,12,0.0,22.0,0.16333333333333333,0.16333333333333333,0.16333333333333333
15,2,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3598781315,400,False,14,14,14,0.0,29.0,0.1825,0.1825,0.1825
16,2,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3598781315,500,False,15,15,15,0.0,36.0,0.19,0.19,0.19
17,2,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3598781315,599,False,18,18,18,0.0,44.0,0.19198664440734559,0.19198664440734559,0.19198664440734559
18,3,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,225426903,100,False,2,2,2,0.0,7.0,0.19,0.19,0.19
19,3,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,225426903,200,False,5,5,5,0.0,14.0,0.195,0.195,0.195
20,3,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,225426903,300,False,6,6,6,0.0,22.0,0.19333333333333333,0.19333333333333333,0.19333333333333333
21,3,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,225426903,400,False,10,10,10,0.0,29.0,0.1975,0.1975,0.1975
22,3,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,225426903,500,False,15,15,15,0.0,37.0,0.188,0.188,0.188
23,3,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,225426903,599,False,15,15,15,0.0,45.0,0.17529215358931552,0.17529215358931552,0.17529215358931552
24,4,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,995272157,100,False,3,3,3,0.0,7.0,0.21,0.21,0.21
25,4,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,995272157,200,False,8,8,8,0.0,14.0,0.23,0.23,0.23
26,4,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,995272157,300,False,11,11,11,0.0,21.0,0.22666666666666666,0.22666666666666666,0.22666666666666666
27,4,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,995272157,400,False,12,12,12,0.0,28.0,0.225,0.225,0.225
28,4,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,995272157,500,False,14,14,14,0.0,35.0,0.222,0.222,0.222
29,4,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,995272157,599,False,16,16,16,0.0,42.0,0.2303839732888147,0.2303839732888147,0.2303839732888147
30,5,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3208311977,100,False,2,2,2,0.0,7.0,0.22,0.22,0.22
31,5,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3208311977,200,False,4,4,4,0.0,15.0,0.18,0.18,0.18
32,5,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3208311977,300,False,7,7,7,0.0,22.0,0.19666666666666666,0.19666666666666666,0.19666666666666666
33,5,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3208311977,400,False,8,8,8,0.0,28.0,0.225,0.225,0.225
34,5,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3208311977,500,False,14,14,14,0.0,36.0,0.204,0.204,0.204
35,5,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3208311977,599,False,15,15,15,0.0,43.0,0.1986644407345576,0.1986644407345576,0.1986644407345576
36,6,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,837901279,100,False,0,0,0,0.0,7.0,0.18,0.18,0.18
37,6,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,837901279,200,False,1,1,1,0.0,14.0,0.19,0.19,0.19
38,6,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,837901279,300,False,6,6,6,0.0,22.0,0.19666666666666666,0.19666666666666666,0.19666666666666666
39,6,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,837901279,400,False,9,9,9,0.0,28.0,0.21,0.21,0.21
40,6,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,837901279,500,False,15,15,15,0.0,35.0,0.222,0.222,0.222
41,6,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,837901279,599,False,17,17,17,0.0,43.0,0.21202003338898165,0.21202003338898165,0.21202003338898165
42,7,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3284026796,100,False,0,0,0,0.0,7.0,0.22,0.22,0.22
43,7,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3284026796,200,False,4,4,4,0.0,14.0,0.19,0.19,0.19
44,7,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3284026796,300,False,5,5,5,0.0,22.0,0.19,0.19,0.19
45,7,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3284026796,400,False,7,7,7,0.0,29.0,0.1975,0.1975,0.1975
46,7,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3284026796,500,False,10,10,10,0.0,37.0,0.188,0.188,0.188
47,7,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,3284026796,599,False,10,10,10,0.0,43.0,0.19532554257095158,0.19532554257095158,0.19532554257095158
48,8,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,1762655781,100,False,5,5,5,0.0,7.0,0.22,0.22,0.22
49,8,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,1762655781,200,False,9,9,9,0.0,15.0,0.18,0.18,0.18
50,8,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,1762655781,300,False,10,10,10,0.0,22.0,0.17666666666666667,0.17666666666666667,0.17666666666666667
51,8,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,1762655781,400,False,11,11,11,0.0,29.0,0.1825,0.1825,0.1825
52,8,../environments/smooth.3.csv,dist_only,1,-1,1,1,0,0,1,1,4082940073,1762655781,500,False,12,12,12,0.0,36.0,0.2,0.2,0.2
