,simulation_number,env_file,agent_type,n_agents,dist_weight,in_view_weight,gp_weight,any_social_weight,success_social_weight,lengthscale,signalvariance,init_seed,policy_seed,step,final,max_reward,min_reward,tot_reward,tot_pairwise_dist,n_foraged_blocks,min_distance_traveled_prop,max_distance_traveled_prop,mean_distance_traveled_prop
0,0,../environments/smooth.17.csv,dist_only,1,-1,1,1,0,0,1,1,2241903809,901986116,100,False,0,0,0,0.0,7.0,0.16,0.16,0.16
1,0,../environments/smooth.17.csv,dist_only,1,-1,1,1,0,0,1,1,2241903809,901986116,200,False,1,1,1,0.0,14.0,0.225,0.225,0.225
2,0,../environments/smooth.17.csv,dist_only,1,-1,1,1,0,0,1,1,2241903809,901986116,300,False,3,3,3,0.0,21.0,0.22,0.22,0.22
3,0,../environments/smooth.17.csv,dist_only,1,-1,1,1,0,0,1,1,2241903809,901986116,400,False,5,5,5,0.0,28.0,0.215,0.215,0.215
4,0,../environments/smooth.17.csv,dist_only,1,-1,1,1,0,0,1,1,2241903809,901986116,500,False,5,5,5,0.0,36.0,0.21,0.21,0.21
5,0,../environments/smooth.17.csv,dist_only,1,-1,1,1,0,0,1,1,2241903809,901986116,599,False,9,9,9,0.0,43.0,0.19699499165275458,0.19699499165275458,0.19699499165275458
6,1,../environments/smooth.17.csv,dist_only,1,-1,1,1,0,0,1,1,2241903809,2319124957,100,False,1,1,1,0.0,7.0,0.24,0.24,0.24
7,1,../environments/smooth.17.csv,dist_only,1,-1,1,1,0,0,1,1,2241903809,2319124957,200,False,2,2,2,0.0,14.0,0.23,0.23,0.23
8,1,../environments/smooth.17.csv,dist_only,1,-1,1,1,0,0,1,1,2241903809,2319124957,300,False,6,6,6,0.0,21.0,0.22666666666666666,0.22666666666666666,0.22666666666666666
9,1,../environments/smooth.17.csv,dist_only,1,-1,1,1,0,0,1,1,2241903809,2319124957,400,False,11,11,11,0.0,28.0,0.2225,0.2225,0.2225
10,1,../environments/smooth.17.csv,dist_only,1,-1,1,1,0,0,1,1,2241903809,2319124957,500,False,15,15,15,0.0,34.0,0.234,0.234,0.234
11,1,../environments/smooth.17.csv,dist_only,1,-1,1,1,0,0,1,1,2241903809,2319124957,599,False,16,16,16,0.0,42.0,0.2303839732888147,0.2303839732888147,0.2303839732888147
12,2,../environments/smooth.17.csv,dist_only,1,-1,1,1,0,0,1,1,2241903809,2743509920,100,False,0,0,0,0.0,7.0,0.18,0.18,0.18
13,2,../environments/smooth.17.csv,dist_only,1,-1,1,1,0,0,1,1,2241903809,2743509920,200,False,6,6,6,0.0,15.0,0.17,0.17,0.17
