,simulation_number,env_file,agent_type,n_agents,dist_weight,in_view_weight,gp_weight,any_social_weight,success_social_weight,lengthscale,signalvariance,init_seed,policy_seed,step,final,max_reward,min_reward,tot_reward,tot_pairwise_dist,n_foraged_blocks,min_distance_traveled_prop,max_distance_traveled_prop,mean_distance_traveled_prop
0,0,../environments/smooth.20.csv,dist_only,1,-1,1,1,0,0,1,1,3823115994,1893721207,100,False,2,2,2,0.0,7.0,0.24,0.24,0.24
1,0,../environments/smooth.20.csv,dist_only,1,-1,1,1,0,0,1,1,3823115994,1893721207,200,False,4,4,4,0.0,14.0,0.22,0.22,0.22
2,0,../environments/smooth.20.csv,dist_only,1,-1,1,1,0,0,1,1,3823115994,1893721207,300,False,6,6,6,0.0,21.0,0.22333333333333333,0.22333333333333333,0.22333333333333333
3,0,../environments/smooth.20.csv,dist_only,1,-1,1,1,0,0,1,1,3823115994,1893721207,400,False,10,10,10,0.0,28.0,0.2325,0.2325,0.2325
4,0,../environments/smooth.20.csv,dist_only,1,-1,1,1,0,0,1,1,3823115994,1893721207,500,False,12,12,12,0.0,35.0,0.228,0.228,0.228
5,0,../environments/smooth.20.csv,dist_only,1,-1,1,1,0,0,1,1,3823115994,1893721207,599,False,15,15,15,0.0,42.0,0.22370617696160267,0.22370617696160267,0.22370617696160267
6,1,../environments/smooth.20.csv,dist_only,1,-1,1,1,0,0,1,1,3823115994,982752018,100,False,0,0,0,0.0,7.0,0.18,0.18,0.18
7,1,../environments/smooth.20.csv,dist_only,1,-1,1,1,0,0,1,1,3823115994,982752018,200,False,1,1,1,0.0,15.0,0.16,0.16,0.16
8,1,../environments/smooth.20.csv,dist_only,1,-1,1,1,0,0,1,1,3823115994,982752018,300,False,1,1,1,0.0,22.0,0.17333333333333334,0.17333333333333334,0.17333333333333334
9,1,../environments/smooth.20.csv,dist_only,1,-1,1,1,0,0,1,1,3823115994,982752018,400,False,4,4,4,0.0,30.0,0.1775,0.1775,0.1775
10,1,../environments/smooth.20.csv,dist_only,1,-1,1,1,0,0,1,1,3823115994,982752018,500,False,4,4,4,0.0,37.0,0.188,0.188,0.188
11,1,../environments/smooth.20.csv,dist_only,1,-1,1,1,0,0,1,1,3823115994,982752018,599,False,7,7,7,0.0,44.0,0.19365609348914858,0.19365609348914858,0.19365609348914858
12,2,../environments/smooth.20.csv,dist_only,1,-1,1,1,0,0,1,1,3823115994,593557963,100,False,2,2,2,0.0,7.0,0.23,0.23,0.23
13,2,../environments/smooth.20.csv,dist_only,1,-1,1,1,0,0,1,1,3823115994,593557963,200,False,8,8,8,0.0,14.0,0.215,0.215,0.215
14,2,../environments/smooth.20.csv,dist_only,1,-1,1,1,0,0,1,1,3823115994,593557963,300,False,10,10,10,0.0,21.0,0.21,0.21,0.21
15,2,../environments/smooth.20.csv,dist_only,1,-1,1,1,0,0,1,1,3823115994,593557963,400,False,11,11,11,0.0,28.0,0.2075,0.2075,0.2075
16,2,../environments/smooth.20.csv,dist_only,1,-1,1,1,0,0,1,1,3823115994,593557963,500,False,14,14,14,0.0,36.0,0.198,0.198,0.198
17,2,../environments/smooth.20.csv,dist_only,1,-1,1,1,0,0,1,1,3823115994,593557963,599,False,20,20,20,0.0,44.0,0.18530884808013356,0.18530884808013356,0.18530884808013356
