,simulation_number,env_file,agent_type,n_agents,dist_weight,in_view_weight,gp_weight,any_social_weight,success_social_weight,lengthscale,signalvariance,init_seed,policy_seed,step,final,max_reward,min_reward,tot_reward,tot_pairwise_dist,n_foraged_blocks,min_distance_traveled_prop,max_distance_traveled_prop,mean_distance_traveled_prop
0,0,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,435038533,100,False,3,3,3,0.0,7.0,0.19,0.19,0.19
1,0,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,435038533,200,False,7,7,7,0.0,15.0,0.18,0.18,0.18
2,0,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,435038533,300,False,8,8,8,0.0,22.0,0.19666666666666666,0.19666666666666666,0.19666666666666666
3,0,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,435038533,400,False,11,11,11,0.0,29.0,0.1925,0.1925,0.1925
4,0,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,435038533,500,False,11,11,11,0.0,36.0,0.204,0.204,0.204
5,0,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,435038533,599,False,13,13,13,0.0,43.0,0.19699499165275458,0.19699499165275458,0.19699499165275458
6,1,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,619093239,100,False,2,2,2,0.0,7.0,0.23,0.23,0.23
7,1,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,619093239,200,False,7,7,7,0.0,14.0,0.225,0.225,0.225
8,1,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,619093239,300,False,8,8,8,0.0,21.0,0.2,0.2,0.2
9,1,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,619093239,400,False,8,8,8,0.0,29.0,0.1925,0.1925,0.1925
10,1,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,619093239,500,False,9,9,9,0.0,36.0,0.202,0.202,0.202
11,1,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,619093239,599,False,12,12,12,0.0,43.0,0.21202003338898165,0.21202003338898165,0.21202003338898165
12,2,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,1251600826,100,False,2,2,2,0.0,7.0,0.24,0.24,0.24
13,2,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,1251600826,200,False,5,5,5,0.0,13.0,0.24,0.24,0.24
14,2,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,1251600826,300,False,8,8,8,0.0,21.0,0.21333333333333335,0.21333333333333335,0.21333333333333335
15,2,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,1251600826,400,False,10,10,10,0.0,28.0,0.215,0.215,0.215
16,2,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,1251600826,500,False,11,11,11,0.0,35.0,0.218,0.218,0.218
17,2,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,1251600826,599,False,13,13,13,0.0,43.0,0.21202003338898165,0.21202003338898165,0.21202003338898165
18,3,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,3873144061,100,False,0,0,0,0.0,7.0,0.18,0.18,0.18
19,3,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,3873144061,200,False,2,2,2,0.0,14.0,0.19,0.19,0.19
20,3,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,3873144061,300,False,3,3,3,0.0,21.0,0.21,0.21,0.21
21,3,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,3873144061,400,False,6,6,6,0.0,29.0,0.2025,0.2025,0.2025
22,3,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,3873144061,500,False,8,8,8,0.0,36.0,0.204,0.204,0.204
23,3,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,3873144061,599,False,10,10,10,0.0,43.0,0.21202003338898165,0.21202003338898165,0.21202003338898165
24,4,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,6750696,100,False,2,2,2,0.0,6.0,0.26,0.26,0.26
25,4,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,6750696,200,False,4,4,4,0.0,14.0,0.235,0.235,0.235
26,4,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,6750696,300,False,7,7,7,0.0,21.0,0.23333333333333334,0.23333333333333334,0.23333333333333334
27,4,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,6750696,400,False,10,10,10,0.0,28.0,0.2325,0.2325,0.2325
28,4,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,6750696,500,False,14,14,14,0.0,35.0,0.22,0.22,0.22
29,4,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,6750696,599,False,16,16,16,0.0,43.0,0.21202003338898165,0.21202003338898165,0.21202003338898165
30,5,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3498157012,1567054704,100,False,3,3,3,0.0,7.0,0.23,0.23,0.23
