id;separate;env_type;blocktype;environment;time_limit
1;S;SM;pumpkin;smooth.4;120
2;S;SM;pumpkin;smooth.17;120
3;S;RO;melon;random.12;120
4;S;RO;melon;random.5;120
5;A;SM;pumpkin;smooth.10;120
6;A;SM;pumpkin;smooth.7;120
7;A;RO;melon;random.20;120
8;A;RO;melon;random.19;120
9;S;RO;melon;random.15;120
10;S;SM;pumpkin;smooth.18;120
11;S;RO;melon;random.18;120
12;S;SM;pumpkin;smooth.12;120
13;A;RO;melon;random.2;120
14;A;SM;pumpkin;smooth.11;120
15;A;SM;pumpkin;smooth.15;120
16;A;RO;melon;random.11;120
