"Time since round start";"Player Name";"X-Position";"Z-Position";"Reward";
2.9;MPIB4;2.0;44.0;false;
3.5;MPIB3;53.0;20.0;false;
3.6;MPIB1;44.0;23.0;false;
3.75;MPIB2;53.0;11.0;false;
5.55;MPIB4;2.0;47.0;true;
6.6;MPIB1;44.0;26.0;false;
6.85;MPIB2;53.0;5.0;false;
7.75;MPIB3;53.0;29.0;true;
8.8;MPIB4;5.0;44.0;false;
9.5;MPIB1;44.0;29.0;false;
10.55;MPIB2;59.0;5.0;true;
11.0;MPIB3;53.0;32.0;false;
11.85;MPIB4;5.0;47.0;true;
12.05;MPIB1;44.0;32.0;false;
14.0;MPIB2;59.0;8.0;false;
14.2;MPIB3;56.0;32.0;false;
14.6;MPIB1;44.0;35.0;false;
14.85;MPIB4;8.0;47.0;true;
17.15;MPIB1;44.0;38.0;false;
18.1;MPIB3;56.0;29.0;true;
18.1;MPIB4;5.0;50.0;true;
18.95;MPIB2;59.0;2.0;false;
19.7;MPIB1;44.0;41.0;false;
20.95;MPIB4;2.0;50.0;true;
21.15;MPIB3;56.0;26.0;true;
22.05;MPIB2;56.0;2.0;false;
22.25;MPIB1;44.0;44.0;false;
23.8;MPIB3;53.0;26.0;true;
24.35;MPIB4;2.0;53.0;false;
24.8;MPIB1;44.0;47.0;false;
24.95;MPIB2;56.0;5.0;true;
26.5;MPIB3;50.0;26.0;true;
27.35;MPIB1;44.0;50.0;false;
27.65;MPIB4;5.0;53.0;false;
28.0;MPIB2;56.0;8.0;false;
29.4;MPIB3;53.0;23.0;true;
30.6;MPIB4;8.0;53.0;false;
31.05;MPIB1;50.0;50.0;false;
31.2;MPIB2;53.0;8.0;false;
32.35;MPIB3;56.0;23.0;true;
33.8;MPIB4;8.0;50.0;true;
34.1;MPIB1;50.0;53.0;false;
35.25;MPIB3;59.0;23.0;true;
36.9;MPIB4;11.0;50.0;false;
36.95;MPIB1;47.0;53.0;false;
38.0;MPIB3;59.0;26.0;false;
38.2;MPIB2;44.0;8.0;true;
39.85;MPIB1;47.0;50.0;false;
40.25;MPIB4;11.0;47.0;true;
41.15;MPIB2;41.0;8.0;false;
41.9;MPIB3;50.0;29.0;false;
42.65;MPIB1;47.0;47.0;false;
43.5;MPIB4;14.0;47.0;false;
44.35;MPIB2;47.0;8.0;false;
45.75;MPIB1;50.0;47.0;false;
47.1;MPIB3;41.0;29.0;false;
47.6;MPIB4;11.0;44.0;true;
47.75;MPIB2;44.0;5.0;false;
48.9;MPIB1;53.0;47.0;false;
50.05;MPIB3;38.0;29.0;false;
50.5;MPIB2;44.0;11.0;true;
52.3;MPIB1;53.0;50.0;false;
52.85;MPIB3;35.0;26.0;false;
53.55;MPIB2;47.0;11.0;true;
54.2;MPIB4;11.0;41.0;true;
55.4;MPIB1;53.0;53.0;false;
55.85;MPIB3;32.0;23.0;false;
56.35;MPIB2;47.0;14.0;true;
57.25;MPIB4;14.0;44.0;true;
58.85;MPIB3;29.0;20.0;false;
59.55;MPIB2;50.0;11.0;false;
60.2;MPIB4;14.0;41.0;true;
60.5;MPIB1;53.0;56.0;false;
61.65;MPIB3;26.0;20.0;false;
62.35;MPIB2;50.0;14.0;false;
63.5;MPIB4;17.0;41.0;true;
63.65;MPIB1;56.0;53.0;false;
64.65;MPIB3;23.0;17.0;false;
65.45;MPIB2;47.0;17.0;false;
66.5;MPIB4;17.0;44.0;true;
67.35;MPIB3;23.0;14.0;false;
67.95;MPIB1;56.0;50.0;false;
68.45;MPIB2;44.0;14.0;true;
69.7;MPIB4;17.0;38.0;true;
70.7;MPIB1;56.0;47.0;false;
70.85;MPIB3;17.0;17.0;false;
71.35;MPIB2;44.0;17.0;false;
72.95;MPIB4;20.0;41.0;true;
73.6;MPIB1;56.0;44.0;false;
73.8;MPIB3;17.0;14.0;false;
74.4;MPIB2;41.0;14.0;true;
76.15;MPIB4;20.0;44.0;true;
76.85;MPIB3;14.0;11.0;true;
77.2;MPIB1;56.0;41.0;false;
77.2;MPIB2;41.0;17.0;false;
79.2;MPIB4;23.0;44.0;true;
79.7;MPIB3;14.0;8.0;true;
80.4;MPIB1;59.0;41.0;false;
80.6;MPIB2;41.0;11.0;true;
81.85;MPIB4;23.0;41.0;true;
82.65;MPIB3;11.0;8.0;false;
83.1;MPIB1;56.0;38.0;false;
83.4;MPIB2;38.0;11.0;false;
84.85;MPIB4;20.0;38.0;true;
85.55;MPIB3;11.0;11.0;true;
86.3;MPIB2;38.0;14.0;true;
86.7;MPIB1;53.0;35.0;false;
88.15;MPIB4;23.0;38.0;true;
88.2;MPIB3;11.0;14.0;false;
89.25;MPIB2;35.0;14.0;false;
91.0;MPIB1;50.0;38.0;false;
91.15;MPIB3;14.0;14.0;false;
91.9;MPIB4;26.0;41.0;true;
92.25;MPIB2;38.0;17.0;false;
94.45;MPIB3;17.0;11.0;false;
95.45;MPIB4;26.0;44.0;false;
95.5;MPIB1;47.0;32.0;false;
96.45;MPIB2;32.0;17.0;false;
97.05;MPIB3;17.0;8.0;true;
98.5;MPIB4;29.0;41.0;true;
98.55;MPIB1;47.0;35.0;false;
99.7;MPIB3;17.0;5.0;false;
100.1;MPIB2;29.0;11.0;false;
101.65;MPIB4;29.0;38.0;true;
102.45;MPIB3;14.0;5.0;true;
105.1;MPIB3;11.0;5.0;false;
105.2;MPIB1;38.0;44.0;false;
105.25;MPIB4;32.0;41.0;true;
106.95;MPIB2;20.0;23.0;true;
107.65;MPIB3;8.0;5.0;false;
108.4;MPIB4;29.0;44.0;false;
109.6;MPIB1;35.0;47.0;false;
109.85;MPIB2;17.0;23.0;false;
110.6;MPIB3;11.0;2.0;false;
111.25;MPIB4;32.0;44.0;false;
112.8;MPIB2;20.0;26.0;false;
113.2;MPIB1;32.0;50.0;false;
113.9;MPIB3;8.0;8.0;false;
114.35;MPIB4;35.0;41.0;true;
116.2;MPIB2;23.0;23.0;true;
116.55;MPIB3;8.0;11.0;false;
116.6;MPIB1;29.0;50.0;false;
117.85;MPIB4;35.0;38.0;true;
119.05;MPIB3;8.0;14.0;false;
119.1;MPIB2;23.0;26.0;true;
