"Time since round start";"Player Name";"X-Position";"Z-Position";"X-Look";"Y-Look";"Z-Look";"Visible Players";
0.0;MPIB2;15.5;50.5;-0.02699064463376999;-0.3534461557865143;0.935031533241272;[MPIB1,MPIB3,MPIB4];
0.0;MPIB1;2.5;27.5;-0.6210479140281677;-0.020898966118693352;0.7834913730621338;[MPIB3,MPIB4];
0.0;MPIB4;19.5;36.5;-0.3012293875217438;-0.22573775053024292;0.9264238476753235;[MPIB3];
0.0;MPIB3;55.5;8.5;0.2759303152561188;0.9070402383804321;-0.3179994225502014;[MPIB1,MPIB2,MPIB4];
0.03125;MPIB2;15.5;50.5;-0.02699064463376999;-0.3534461557865143;0.935031533241272;[];
0.03125;MPIB1;2.5;27.5;-0.6210479140281677;-0.020898966118693352;0.7834913730621338;[];
0.03125;MPIB4;19.5;36.5;-0.3012293875217438;-0.22573775053024292;0.9264238476753235;[];
0.03125;MPIB3;55.5;8.5;0.2759303152561188;0.9070402383804321;-0.3179994225502014;[];
0.09375;MPIB2;15.5;50.5;-0.02699064463376999;-0.3534461557865143;0.935031533241272;[];
0.09375;MPIB1;2.5;27.5;-0.6292015314102173;-0.020898966118693352;0.7769585847854614;[];
0.09375;MPIB4;19.5;36.5;-0.3012293875217438;-0.22573775053024292;0.9264238476753235;[];
0.09375;MPIB3;55.5;8.5;0.32864946126937866;0.7586473226547241;-0.562501847743988;[];
0.125;MPIB2;15.5;50.5;-0.02699064463376999;-0.3534461557865143;0.935031533241272;[];
0.125;MPIB1;2.5;27.5;-0.7761764526367188;-0.1872795969247818;0.6020308136940002;[];
0.125;MPIB4;19.5;36.5;-0.14877910912036896;-0.2587572932243347;0.9543906450271606;[];
0.125;MPIB3;55.5;8.5;-0.20998148620128632;0.22573775053024292;-0.9512887001037598;[];
0.1875;MPIB2;15.5;50.5;-0.02699064463376999;-0.3534461557865143;0.935031533241272;[];
0.1875;MPIB1;2.5;27.5;-0.7761764526367188;-0.1872795969247818;0.6020308136940002;[];
0.1875;MPIB4;19.5;36.5;-0.14877910912036896;-0.2587572932243347;0.9543906450271606;[MPIB2];
0.1875;MPIB3;55.5;8.5;-0.20998148620128632;0.22573775053024292;-0.9512887001037598;[];
0.25;MPIB2;15.5;50.5;-0.029410967603325844;-0.3534461557865143;0.9349585175514221;[];
0.25;MPIB1;2.5;27.5;-0.7761764526367188;-0.1872795969247818;0.6020308136940002;[];
