"Time since round start";"Player Name";"X-Position";"Z-Position";"Reward";
3.9;MPIB2;5.0;26.0;false;
4.0;MPIB4;56.0;47.0;true;
4.35;MPIB1;8.0;23.0;false;
6.35;MPIB3;2.0;47.0;false;
7.0;MPIB4;56.0;50.0;false;
7.15;MPIB1;11.0;23.0;false;
10.05;MPIB4;59.0;50.0;false;
10.3;MPIB1;11.0;20.0;true;
10.4;MPIB3;5.0;47.0;false;
13.05;MPIB4;59.0;47.0;false;
13.75;MPIB1;14.0;20.0;false;
16.35;MPIB2;26.0;29.0;false;
16.5;MPIB1;17.0;20.0;false;
16.55;MPIB3;8.0;47.0;false;
16.65;MPIB4;59.0;44.0;false;
19.55;MPIB4;56.0;44.0;false;
19.85;MPIB1;17.0;17.0;false;
20.05;MPIB2;23.0;29.0;false;
20.45;MPIB3;14.0;47.0;false;
23.05;MPIB1;14.0;17.0;false;
23.95;MPIB4;47.0;47.0;false;
24.5;MPIB2;23.0;26.0;false;
25.4;MPIB3;11.0;47.0;false;
25.85;MPIB1;14.0;14.0;false;
28.2;MPIB4;41.0;47.0;false;
28.45;MPIB1;11.0;14.0;false;
31.55;MPIB4;41.0;50.0;false;
31.9;MPIB3;14.0;44.0;false;
32.15;MPIB2;20.0;26.0;false;
32.4;MPIB1;8.0;14.0;false;
35.05;MPIB1;5.0;14.0;false;
35.7;MPIB4;35.0;50.0;true;
37.3;MPIB3;14.0;41.0;false;
37.8;MPIB1;2.0;14.0;false;
39.1;MPIB4;35.0;53.0;false;
40.75;MPIB1;2.0;17.0;false;
42.4;MPIB4;32.0;50.0;false;
43.75;MPIB1;5.0;17.0;false;
43.95;MPIB3;14.0;38.0;false;
45.5;MPIB2;17.0;29.0;false;
45.55;MPIB4;35.0;47.0;true;
47.6;MPIB1;5.0;20.0;false;
48.05;MPIB3;14.0;35.0;true;
49.1;MPIB4;38.0;47.0;true;
49.3;MPIB2;14.0;26.0;false;
50.95;MPIB1;2.0;20.0;true;
52.45;MPIB4;38.0;44.0;true;
54.0;MPIB1;2.0;23.0;false;
54.1;MPIB3;14.0;32.0;true;
54.2;MPIB2;14.0;29.0;false;
55.35;MPIB4;35.0;44.0;true;
57.45;MPIB1;5.0;23.0;false;
57.7;MPIB2;17.0;32.0;true;
58.6;MPIB4;32.0;47.0;true;
60.6;MPIB3;17.0;35.0;false;
61.2;MPIB2;20.0;32.0;false;
61.7;MPIB1;8.0;20.0;false;
62.1;MPIB4;32.0;44.0;true;
64.65;MPIB3;20.0;35.0;false;
65.2;MPIB1;8.0;17.0;false;
65.5;MPIB4;35.0;41.0;true;
68.0;MPIB2;20.0;38.0;false;
68.0;MPIB1;11.0;17.0;false;
68.75;MPIB4;32.0;41.0;true;
70.1;MPIB3;17.0;41.0;false;
71.3;MPIB2;17.0;38.0;false;
71.4;MPIB1;11.0;11.0;false;
72.45;MPIB4;38.0;41.0;true;
74.2;MPIB1;11.0;8.0;false;
75.55;MPIB2;20.0;41.0;false;
76.0;MPIB4;41.0;41.0;false;
76.95;MPIB1;14.0;11.0;false;
79.15;MPIB4;41.0;44.0;false;
81.45;MPIB1;14.0;8.0;false;
82.2;MPIB3;17.0;44.0;false;
83.5;MPIB4;35.0;38.0;true;
83.75;MPIB2;44.0;44.0;false;
84.2;MPIB1;14.0;5.0;false;
86.55;MPIB4;38.0;38.0;true;
87.0;MPIB1;14.0;2.0;false;
87.1;MPIB3;20.0;47.0;false;
88.05;MPIB2;44.0;53.0;false;
89.8;MPIB1;11.0;2.0;false;
89.85;MPIB4;41.0;38.0;false;
91.35;MPIB2;47.0;53.0;false;
92.2;MPIB3;23.0;47.0;false;
92.8;MPIB1;8.0;2.0;false;
93.1;MPIB4;44.0;41.0;false;
94.55;MPIB2;50.0;53.0;false;
96.25;MPIB1;11.0;5.0;false;
96.35;MPIB4;44.0;38.0;false;
96.45;MPIB3;26.0;47.0;false;
99.75;MPIB2;47.0;44.0;true;
99.8;MPIB1;8.0;5.0;false;
100.0;MPIB4;41.0;35.0;true;
100.35;MPIB3;26.0;44.0;false;
102.5;MPIB1;5.0;5.0;false;
103.0;MPIB4;38.0;35.0;true;
103.2;MPIB2;47.0;41.0;true;
104.6;MPIB3;26.0;41.0;false;
105.6;MPIB1;5.0;8.0;false;
106.2;MPIB4;35.0;35.0;false;
106.7;MPIB2;47.0;38.0;false;
108.6;MPIB1;8.0;8.0;false;
109.6;MPIB4;38.0;32.0;false;
110.1;MPIB2;47.0;35.0;false;
110.15;MPIB3;26.0;38.0;false;
111.35;MPIB1;8.0;11.0;false;
112.7;MPIB4;41.0;32.0;true;
114.7;MPIB1;5.0;11.0;false;
115.5;MPIB2;44.0;35.0;false;
116.35;MPIB4;44.0;32.0;false;
117.5;MPIB1;2.0;11.0;false;
119.5;MPIB4;47.0;32.0;false;
119.6;MPIB2;44.0;29.0;false;
